id,name,satno,cospar id,vimpel id,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2)
40276,Briz-M auxiliary tank (DTB),40279,2014-064C,,Rocket Mission Related Object,1000,Torus,4,2.1,4,17/06/2015,12.5663706143592,7.45360590058275,8.21789806830189
40277,RK-21-8,40280,1998-067FG,,Payload,106,Box + 1 Ant,1.2,0.5,1.9,11/03/2015,1.89042257441416,0.6,1.42666666666667
40278,ISS operational debris (MIM-2 2ASF1-1 antenna),40281,1998-067FH,,Payload Mission Related Object,10,Cyl,0.6,0.4,0.6,07/02/2015,0.370868973693977,0.24,0.329867228626928
40279,ISS operational debris (MIM-2 2ASF1-2 antenna),40282,1998-067FJ,,Payload Mission Related Object,10,Cyl,0.6,0.4,0.6,28/11/2014,0.370868973693977,0.24,0.329867228626928
40280,Chang'e-5 FTD,40283,2014-065A,,Payload,2480,Box + 2 Pan + 1 Dish,1.7,2.2,18,,28.1958292296856,2.89,12.6377333333333
40281,H-18 (Long March (CZ) YF) (Long March (CZ) 3C/E),40284,2014-065B,,Rocket Body,2800,Cyl + 1 Nozzle,3,12.4,12.4,,37.8656159633052,7.06858347057703,32.7511034136736
40282,ISS EVA debris,40285,1998-067FK,,Payload Debris,,,,,,07/02/2015,,,
40283,Shi Jian 11-08,40286,2014-066A,,Payload,300,Box + 2 Pan,1,1,3,,3.33225579443775,1,2.04533333333333
40284,L-55 (YF24) (Long March (CZ) 2C),40287,2014-066B,,Rocket Body,3800,Cyl,3.3,8.4,8.4,,29.4881078288117,8.81413088872786,26.5081697623681
40285,CZ-2C operational debris (sep motor cover),40288,2014-066C,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40286,CZ-2C operational debris (sep motor cover),40289,2014-066D,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40287,CZ-2C operational debris (sep motor cover),40290,2014-066E,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40288,CZ-2C operational debris (sep motor cover),40291,2014-066F,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40289,Progress M-25M,40292,2014-067A,,Payload,7290,Cyl + Sphere + Cone + 2 Pan,2.7,7.9,7.9,26/04/2015,22.085082130326,5.7255526111674,19.6153191308513
40290,Blok-I (Soyuz-2-1A),40293,2014-067B,,Rocket Body,2710,Cyl,2.7,6.7,6.7,31/10/2014,18.668308636051,5.55716324493499,16.7759476905368
40291,GPS IIF-8,40294,2014-068A,,Payload,1630,Box + 2 Pan,1.8,2.5,18,,30.4698406635167,3.24,13.9596
40292,Centaur-5 SEC (Atlas V 401),40295,2014-068B,,Rocket Body,2020,Cyl + 1 Nozzle,3.1,11.7,11.7,,37.0470014749928,7.54767635024948,32.2602295615502
40293,Meridian No. 17L,40296,2014-069A,,Payload,2000,Box + 2 Pan,2,4,10,,24.8002899967149,4,14.304
40294,Fregat-M (Soyuz-2-1A Fregat-M),40297,2014-069B,,Rocket Body,1000,Irr,3.3,1.7,3.3,,13.4735407373118,5.61,11.055
40295,ASNARO 1,40298,2014-070A,,Payload,495,Cyl + 2 Pan,2.5,3.5,3.5,,10.0328567153053,4.90873852123405,9.3266031903447
40296,Hodoyoshi-1,40299,2014-070B,,Payload,50,Box + 2 Pan,0.5,0.7,1.5,,0.954731772816126,0.25,0.614333333333333
40297,ChubuSat-1,40300,2014-070C,,Payload,50,Box,0.5,0.58,0.58,,0.530438460144059,0.29,0.4582
40298,Tsukushi (QSat-EOS),40301,2014-070D,,Payload,49,Box,0.5,0.5,0.5,,0.433012701892219,0.25,0.375
40299,Tsubame,40302,2014-070E,,Payload,43,Box + 2 Pan,0.4,0.5,1.2,,0.581166454171023,0.16,0.370133333333333
40300,Dnepr PBV,40303,2014-070F,,Rocket Body,1000,Cyl,3,3,3,,11.4439884778217,7.06858347057703,10.6028752058656
40301,Dnepr operational debris (plume shield),40304,2014-070G,,Rocket Mission Related Object,50,Cone,2.5,2.5,2.5,29/12/2017,4.9087,3.125,3.9713
40302,Yaogan Weixing 23,40305,2014-071A,,Payload,2000,Box + 2 Pan,1.5,2,4,,7.80254333806397,2.25,5.14133333333333
40303,L-55 (YF24) (Long March (CZ) 2C),40306,2014-071B,,Rocket Body,4006,Cyl,3.3,8,8,,28.2122119537555,8.81413088872786,25.4557362234155
40304,CZ-2C operational debris (sep motor cover),40307,2014-071C,,Rocket Mission Related Object,,,,,,13/12/2014,,,
40305,CZ-2C operational debris (sep motor cover),40308,2014-071D,,Rocket Mission Related Object,,,,,,21/12/2014,,,
40306,CZ-2C operational debris (sep motor cover),40309,2014-071E,,Rocket Mission Related Object,,,,,,11/01/2016,,,
40307,Yaogan Weixing 24,40310,2014-072A,,Payload,800,Box + 2 Pan,1.5,2,4,,7.80254333806397,2.25,5.14133333333333
40308,Kuaizhou-2,40311,2014-073A,,Payload,150,Box,1,1,1,09/10/2016,1.73205080756888,1,1.5
40309,Soyuz TMA-15M,40312,2014-074A,,Payload,7220,Cyl + Cone + Sphere + 2 Pan,2.7,7.9,10.6,11/06/2015,39.1493196825872,5.7255526111674,25.3440524641846
40310,Blok-I (Soyuz-FG),40313,2014-074B,,Rocket Body,2350,Cyl,2.7,6.7,6.7,26/11/2014,18.9744579027504,5.7255526111674,17.0706290814435
40311,SpinSat,40314,1998-067FL,,Payload,57,Sphere,0.56,0.56,0.56,11/03/2017,0.2463,0.2463,0.2463
40312,Cosmos-2501 (Glonass-K1 No.12L(702)),40315,2014-075A,,Payload,935,Box + 2 Pan,1,2,5,,6.20028998686057,1,3.58533333333333
40313,Blok-I (Soyuz-2-1B),40316,2014-075B,,Rocket Body,1000,Cyl,3.3,1.7,3.3,,7.16453399258154,4.522,6.33015211735075
40314,Meteor 2 debris,40317,1984-072C,,Payload Fragmentation Debris,,,,,,,,,
40315,Meteor 2 debris,40318,1984-072D,,Payload Fragmentation Debris,,,,,,,,,
40316,Hayabusa 2,40319,2014-076A,,Payload,600,Box + 2 Pan + 1 Rod,1,1.6,6,,6.47420786053684,1,3.45533333333333
40317,Shin'en-2,40320,2014-076B,,Payload,17.7,Poly,0.48,0.49,0.49,,0.410226876252641,0.18472564803108,0.270631917365184
40318,DESPATCH (Artsat 2),40321,2014-076C,,Payload,32,Irr,0.5,0.45,0.5,,0.404660351405966,0.225,0.35
40319,PROCYON,40322,2014-076D,,Payload,65,Box + 4 Pan,0.55,0.55,1.5,,1.36034644532907,0.3025,0.744616666666667
40320,H-II LE-5B (H-IIA 202),40323,2014-076E,,Rocket Body,4000,Cyl,4,9.2,9.2,,38.8864201285928,12.5663706143592,35.1858377202057
40321,Iridium 91 fragmentation debris,40324,2002-005G,,Payload Fragmentation Debris,,,,,,01/11/2015,,,
40322,Iridium 91 fragmentation debris,40325,2002-005H,,Payload Fragmentation Debris,,,,,,22/03/2015,,,
40323,Iridium 91 fragmentation debris,40326,2002-005J,,Payload Fragmentation Debris,,,,,,,,,
40324,Iridium 91 fragmentation debris,40327,2002-005K,,Payload Fragmentation Debris,,,,,,,,,
40325,Unknown Oko debris,40328,2014-000A,71004,Other Debris,,,,,,,,,
40326,Orion EFT-1,40329,2014-077A,,Payload,9400,Cone,5,3.5,5,05/12/2014,19.635,8.75,13.3541
40327,Delta IV DCSS 5 (Delta 4H),40330,2014-077B,,Rocket Body,3450,Cyl + 1 Nozzle,5,12,12,05/12/2014,64.3802344786689,20.3481741571174,58.1462068988749
40328,Delta 4H debris,40331,2014-077C,,Rocket Fragmentation Debris,,,,,,05/12/2014,,,
40329,GSAT 16,40332,2014-078A,,Payload,3180,Box + 2 Pan,1.7,3.1,15.4,,26.6261397260761,2.89,12.9804
40330,DirecTV 14,40333,2014-078B,,Payload,6300,Box + 2 Pan,2.2,5,32.5,,69.6207599572651,4.84,31.3087333333333
40331,ESC-A (Ariane 5ECA),40334,2014-078C,,Rocket Body,5000,Cyl + 1 Nozzle,5.5,7,7,,44.7172401346055,23.3282889483127,41.627084407769
40332,Ariane 5 operational debris (Sylda adapter),40335,2014-078D,,Rocket Mission Related Object,440,Cyl,4.5,5.5,5.5,15/06/2019,29.4195456443519,15.9043128087983,27.390760948486
40333,CBERS 4,40336,2014-079A,,Payload,2100,Box + 1 Pan,3.4,3.3,9,,35.13600068375,11.22,22.1960666666667
40334,L-14B (YF40B) (Long March (CZ) 4B),40337,2014-079B,,Rocket Body,1000,Cyl,2.9,7.5,7.5,,22.7308413381477,6.60519855417254,20.3850093309808
40335,Yaogan Weixing 25,40338,2014-080A,,Payload,500,Box + 2 Pan,0.5,0.5,1,,0.633235078264092,0.25,0.446
40336,Yaogan Weixing 25-1,40339,2014-080B,,Payload,500,Box + 2 Pan,0.5,0.5,1,,0.633235078264092,0.25,0.446
