id,name,satno,cospar id,vimpel id,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2)
40122,Flock 1b-25,40125,1998-067EX,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,01/02/2015,0.1911,0.0223,0.107892647058823
40123,Flock 1b-15,40126,1998-067EY,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,07/01/2015,0.1911,0.0223,0.107892647058823
40124,Flock 1b-16,40127,1998-067EZ,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,13/12/2014,0.1911,0.0223,0.107892647058823
40125,Galileo FOC FM01,40128,2014-050A,,Payload,733,Box + 2 Pan,1.1,2.5,14.67,,23.13660103714,2.56,11.1555333333333
40126,Galileo FOC FM02,40129,2014-050B,,Payload,733,Box + 2 Pan,1.1,2.5,14.67,,23.13660103714,2.56,11.1555333333333
40127,Fregat-MT (Soyuz-ST-B Fregat-MT),40130,2014-050C,,Rocket Body,1050,Irr,3.3,1.7,3.3,,13.4735407373118,5.61,11.055
40128,Flock 1b-1,40131,1998-067FA,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,01/01/2015,0.1911,0.0223,0.107892647058823
40129,Flock 1b-2,40132,1998-067FB,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,14/03/2015,0.1911,0.0223,0.107892647058823
40130,Flock 1b-7,40133,1998-067FC,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,05/03/2015,0.1911,0.0223,0.107892647058823
40131,Flock 1b-8,40134,1998-067FD,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,20/01/2015,0.1911,0.0223,0.107892647058823
40132,Helios 2B debris,40135,2009-073C,,Payload Debris,,,,,,,,,
40133,Lingqiao Tongxin Shiyan W.,40136,2014-051A,,Payload,135,Box,1,1,2,,1.73205080756888,1,1.5
40134,Chuangxin-1 04,40137,2014-051B,,Payload,90,Box,0.5,0.5,0.5,,0.433012701892219,0.25,0.375
40135,L-53 (YF24B) (Long March (CZ) 2D),40138,2014-051C,,Rocket Body,4006,Cyl,3.3,8,8,14/06/2015,28.2122119537555,8.81413088872786,25.4557362234155
40136,Flock 1b-18,40139,1998-067FE,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,16/01/2015,0.1911,0.0223,0.107892647058823
40137,Flock 1b-17,40140,1998-067FF,,Payload,4.5,Box + 2 Pan,0.1,0.3,0.3,04/03/2015,0.1911,0.0223,0.107892647058823
40138,Asiasat 6,40141,2014-052A,,Payload,3700,Box + 2 Pan,2.2,4.5,27,,58.4624150982739,4.84,26.9637333333333
40139,Falcon 9 Merlin-V (1D) (Falcon 9 v1.1),40142,2014-052B,,Rocket Body,3000,Cyl,3.6,6,6,28/12/2014,23.8781732793963,10.1787601976309,22.0539804282003
40140,Yaogan Weixing 21,40143,2014-053A,,Payload,3000,Box + 2 Pan,2,2,8,,16.5284440605881,4,9.23066666666667
40141,Tiantuo 2,40144,2014-053B,,Payload,67,Box,0.515,0.685,0.685,,0.684888678454389,0.352775,0.5873875
40142,L-14B (YF40B) (Long March (CZ) 4B),40145,2014-053C,,Rocket Body,1000,Cyl,2.9,7.5,7.5,23/10/2014,22.7308413381477,6.60519855417254,20.3850093309808
40143,Optus 10,40146,2014-054A,,Payload,3270,Box + 2 Pan,3.1,5.1,24.7,,77.9049392915353,9.61,38.5595333333333
40144,Measat 3B,40147,2014-054B,,Payload,5897,Box + 2 Pan,2.35,6.7,39.4,,92.5964003584087,5.5225,41.8602833333333
40145,ESC-A (Ariane 5ECA),40148,2014-054C,,Rocket Body,5000,Cyl + 1 Nozzle,5.5,7,7,,44.7172401346055,23.3282889483127,41.627084407769
40146,Ariane 5 operational debris (Sylda adapter),40149,2014-054D,,Rocket Mission Related Object,440,Cyl,4.5,5.5,5.5,,29.4195456443519,15.9043128087983,27.390760948486
40147,Foton-M No. 4 debris,40150,2014-041C,,Payload Mission Related Object,,,,,,15/11/2014,,,
40148,Foton-M No. 4 debris,40151,2014-041D,,Payload Mission Related Object,,,,,,26/01/2015,,,
40149,Beidou 2A fragmentation debris,40152,2007-003AL,,Payload Fragmentation Debris,,,,,,,,,
40150,Beidou 2A fragmentation debris,40153,2007-003AM,,Payload Fragmentation Debris,,,,,,,,,
40151,Beidou 2A fragmentation debris,40154,2007-003AN,,Payload Fragmentation Debris,,,,,,,,,
40152,Beidou 2A fragmentation debris,40155,2007-003AP,,Payload Fragmentation Debris,,,,,,,,,
40153,Beidou 2A fragmentation debris,40156,2007-003AQ,,Payload Fragmentation Debris,,,,,,,,,
40154,Beidou 2A fragmentation debris,40157,2007-003AR,78500,Payload Fragmentation Debris,,,,,,,,,
40155,CZ-3B debris,40158,2010-042K,76300,Rocket Fragmentation Debris,,,,,,,,,
40156,CZ-3B debris,40159,2010-042L,,Rocket Fragmentation Debris,,,,,,,,,
40157,CZ-3B debris,40160,2010-042M,75801,Rocket Fragmentation Debris,,,,,,,,,
40158,CZ-3B debris,40161,2010-042N,,Rocket Fragmentation Debris,,,,,,,,,
40159,CZ-3B debris,40162,2010-042P,74900,Rocket Fragmentation Debris,,,,,,,,,
40160,CZ-3B debris,40163,2010-042Q,74702,Rocket Fragmentation Debris,,,,,,,,,
40161,CZ-3B debris,40164,2010-042R,75800,Rocket Fragmentation Debris,,,,,,,,,
40162,CZ-3B debris,40165,2010-042S,74501,Rocket Fragmentation Debris,,,,,,,,,
40163,CZ-3B debris,40166,2010-042T,,Rocket Fragmentation Debris,,,,,,,,,
40164,CZ-3B debris,40167,2010-042U,74301,Rocket Fragmentation Debris,,,,,,,,,
40165,CZ-3B debris,40168,2010-042V,,Rocket Fragmentation Debris,,,,,,,,,
40166,CZ-3B debris,40169,2010-042W,74201,Rocket Fragmentation Debris,,,,,,,,,
40167,CZ-3C fragmentation debris,40170,2010-057Y,64400,Rocket Fragmentation Debris,,,,,,,,,
40168,CZ-3C fragmentation debris,40171,2010-057Z,,Rocket Fragmentation Debris,,,,,,,,,
40169,CZ-3C fragmentation debris,40172,2010-057AA,,Rocket Fragmentation Debris,,,,,,10/06/2018,,,
40170,CZ-3C fragmentation debris,40173,2010-057AB,,Rocket Fragmentation Debris,,,,,,,,,
40171,CZ-3C fragmentation debris,40174,2010-057AC,,Rocket Fragmentation Debris,,,,,,,,,
40172,CZ-3C fragmentation debris,40175,2010-057AD,,Rocket Fragmentation Debris,,,,,,,,,
40173,CZ-3C fragmentation debris,40176,2010-057AE,,Rocket Fragmentation Debris,,,,,,,,,
40174,CZ-3C fragmentation debris,40177,2010-057AF,,Rocket Fragmentation Debris,,,,,,,,,
40175,CZ-3C fragmentation debris,40178,2010-057AG,,Rocket Fragmentation Debris,,,,,,,,,
40176,CZ-3B/E fragmentation debris,40179,2011-077C,74902,Rocket Fragmentation Debris,,,,,,,,,
40177,CZ-3B/E fragmentation debris,40180,2011-077D,,Rocket Fragmentation Debris,,,,,,,,,
40178,CZ-3B/E fragmentation debris,40181,2011-077E,,Rocket Fragmentation Debris,,,,,,,,,
40179,CZ-3B/E fragmentation debris,40182,2011-077F,,Rocket Fragmentation Debris,,,,,,,,,
40180,CZ-3B/E fragmentation debris,40183,2011-077G,79600,Rocket Fragmentation Debris,,,,,,,,,
40181,CZ-3B/E fragmentation debris,40184,2011-077H,78300,Rocket Fragmentation Debris,,,,,,,,,
40182,CZ-3B/E fragmentation debris,40185,2011-077J,,Rocket Fragmentation Debris,,,,,,,,,
40183,CZ-3B/E fragmentation debris,40186,2011-077K,76101,Rocket Fragmentation Debris,,,,,,,,,
40184,CZ-3B/E fragmentation debris,40187,2011-077L,75201,Rocket Fragmentation Debris,,,,,,,,,
40185,CZ-3B/E fragmentation debris,40188,2011-077M,,Rocket Fragmentation Debris,,,,,,,,,
40186,CZ-3B/E fragmentation debris,40189,2011-077N,75400,Rocket Fragmentation Debris,,,,,,,,,
40187,CZ-3B/E fragmentation debris,40190,2011-077P,,Rocket Fragmentation Debris,,,,,,,,,
40188,CZ-3B/E fragmentation debris,40191,2011-077Q,,Rocket Fragmentation Debris,,,,,,,,,
40189,CZ-3B/E fragmentation debris,40192,2011-077R,,Rocket Fragmentation Debris,,,,,,,,,
40190,CZ-3B/E fragmentation debris,40193,2011-077S,,Rocket Fragmentation Debris,,,,,,,,,
40191,CZ-3C fragmentation debris,40194,2012-008D,67503,Rocket Fragmentation Debris,,,,,,,,,
40192,CZ-3C fragmentation debris,40195,2012-008E,63001,Rocket Fragmentation Debris,,,,,,,,,
40193,CZ-3C fragmentation debris,40196,2012-008F,60704,Rocket Fragmentation Debris,,,,,,,,,
40194,CZ-3C fragmentation debris,40197,2012-008G,65402,Rocket Fragmentation Debris,,,,,,,,,
40195,CZ-3C fragmentation debris,40198,2012-008H,,Rocket Fragmentation Debris,,,,,,,,,
40196,CZ-3C fragmentation debris,40199,2012-008J,68901,Rocket Fragmentation Debris,,,,,,,,,
40197,CZ-3C fragmentation debris,40200,2012-008K,,Rocket Fragmentation Debris,,,,,,,,,
40198,CZ-3C fragmentation debris,40201,2012-008L,64101,Rocket Fragmentation Debris,,,,,,,,,
40199,CZ-3C fragmentation debris,40202,2012-008M,,Rocket Fragmentation Debris,,,,,,,,,
40200,CZ-3C fragmentation debris,40203,2012-008N,,Rocket Fragmentation Debris,,,,,,,,,
40201,CZ-3C fragmentation debris,40204,2012-008P,,Rocket Fragmentation Debris,,,,,,,,,
40202,CZ-3C fragmentation debris,40205,2012-008Q,,Rocket Fragmentation Debris,,,,,,,,,
40203,CZ-3C fragmentation debris,40206,2012-008R,,Rocket Fragmentation Debris,,,,,,,,,
40204,CZ-3C fragmentation debris,40207,2012-008S,,Rocket Fragmentation Debris,,,,,,,,,
40205,USA 257 (CLIO),40208,2014-055A,143663,Payload,,Box + 2 Pan,,,,,,,
40206,Centaur-5 SEC (Atlas V 401),40209,2014-055B,78000,Rocket Body,2020,Cyl + 1 Nozzle,3.1,11.7,11.7,,37.0470014749928,7.54767635024948,32.2602295615502
40207,Dragon CRS-4,40210,2014-056A,,Payload,9700,Trunc Cone + Cyl + 2 Pan,3.7,5.3,16.5,25/10/2014,60.2525145841952,10.7521008569111,33.4694417460128
40208,Dragon operational debris (solar array cover),40211,2014-056B,,Payload Mission Related Object,5,Box,2,0.2,2.9,23/09/2014,4.03980197534483,0.4,2.4
40209,Dragon operational debris (solar array cover),40212,2014-056C,,Payload Mission Related Object,5,Box,2,0.2,2.9,24/09/2014,4.03980197534483,0.4,2.4
40210,Meteor 2 debris,40213,1979-095CL,,Payload Fragmentation Debris,,,,,,,,,
40211,Meteor 2 debris,40214,1979-095CM,,Payload Fragmentation Debris,,,,,,,,,
40212,Meteor 2 debris,40215,1979-095CN,,Payload Fragmentation Debris,,,,,,,,,
40213,Polar BEAR debris,40216,1986-088E,,Payload Debris,,,,,,,,,
40214,Okean 1 debris,40217,1988-056C,,Payload Debris,,,,,,,,,
40215,Cosmos-2251 fragmentation debris,40218,1993-036BUX,,Payload Fragmentation Debris,,,,,,,,,
40216,Cosmos-2251 fragmentation debris,40219,1993-036BUY,,Payload Fragmentation Debris,,,,,,30/05/2016,,,
40217,Cosmos-2251 fragmentation debris,40220,1993-036BUZ,,Payload Fragmentation Debris,,,,,,,,,
40218,Cosmos-2251 fragmentation debris,40221,1993-036BVA,,Payload Fragmentation Debris,,,,,,,,,
40219,Cosmos-2251 fragmentation debris,40222,1993-036BVB,,Payload Fragmentation Debris,,,,,,15/12/2015,,,
40220,Cosmos-2251 fragmentation debris,40223,1993-036BVC,,Payload Fragmentation Debris,,,,,,,,,
40221,Cosmos-2251 fragmentation debris,40224,1993-036BVD,,Payload Fragmentation Debris,,,,,,,,,
40222,Cosmos-2251 fragmentation debris,40225,1993-036BVE,,Payload Fragmentation Debris,,,,,,,,,
40223,Cosmos-2251 fragmentation debris,40226,1993-036BVF,,Payload Fragmentation Debris,,,,,,,,,
40224,Cosmos-2251 fragmentation debris,40227,1993-036BVG,,Payload Fragmentation Debris,,,,,,,,,
40225,Cosmos-2251 fragmentation debris,40228,1993-036BVH,,Payload Fragmentation Debris,,,,,,,,,
40226,Cosmos-2251 fragmentation debris,40229,1993-036BVJ,,Payload Fragmentation Debris,,,,,,,,,
40227,Cosmos-2251 fragmentation debris,40230,1993-036BVK,,Payload Fragmentation Debris,,,,,,,,,
40228,Cosmos-2251 fragmentation debris,40231,1993-036BVL,,Payload Fragmentation Debris,,,,,,,,,
40229,Cosmos-2251 fragmentation debris,40232,1993-036BVM,,Payload Fragmentation Debris,,,,,,,,,
40230,Cosmos-2251 fragmentation debris,40233,1993-036BVN,,Payload Fragmentation Debris,,,,,,,,,
40231,Cosmos-2251 fragmentation debris,40234,1993-036BVP,,Payload Fragmentation Debris,,,,,,10/12/2020,,,
40232,Cosmos-2251 fragmentation debris,40235,1993-036BVQ,,Payload Fragmentation Debris,,,,,,,,,
40233,Cosmos-2251 fragmentation debris,40236,1993-036BVR,,Payload Fragmentation Debris,,,,,,,,,
40234,Cosmos-2251 fragmentation debris,40237,1993-036BVS,,Payload Fragmentation Debris,,,,,,,,,
40235,Cosmos-2251 fragmentation debris,40238,1993-036BVT,,Payload Fragmentation Debris,,,,,,,,,
40236,Cosmos-2251 fragmentation debris,40239,1993-036BVU,,Payload Fragmentation Debris,,,,,,,,,
40237,Pegasus fourth stage (HAPS) fragmentation debris,40240,1994-029AGG,,Rocket Fragmentation Debris,,,,,,28/02/2015,,,
40238,Pegasus fourth stage (HAPS) fragmentation debris,40241,1994-029AGH,,Rocket Fragmentation Debris,,,,,,02/12/2015,,,
40239,Pegasus fourth stage (HAPS) fragmentation debris,40242,1994-029AGJ,,Rocket Fragmentation Debris,,,,,,,,,
40240,Pegasus fourth stage (HAPS) fragmentation debris,40243,1994-029AGK,,Rocket Fragmentation Debris,,,,,,,,,
40241,Pegasus fourth stage (HAPS) fragmentation debris,40244,1994-029AGL,,Rocket Fragmentation Debris,,,,,,,,,
40242,Proton-K/DM-2 SOZ debris,40245,2008-046T,,Rocket Fragmentation Debris,,,,,,,,,
40243,Soyuz TMA-14M,40246,2014-057A,,Payload,7220,Cyl + Cone + Sphere + 2 Pan,2.7,7.9,10.6,12/03/2015,39.1493196825872,5.7255526111674,25.3440524641846
40244,Blok-I (Soyuz-FG),40247,2014-057B,,Rocket Body,2350,Cyl,2.7,6.7,6.7,28/09/2014,18.9744579027504,5.7255526111674,17.0706290814435
40245,Iridium 47 fragmentation debris,40248,1997-082H,,Payload Fragmentation Debris,,,,,,12/08/2020,,,
40246,Iridium 47 fragmentation debris,40249,1997-082J,,Payload Fragmentation Debris,,,,,,,,,
40247,Iridium 47 fragmentation debris,40250,1997-082K,,Payload Fragmentation Debris,,,,,,29/01/2015,,,
40248,Iridium 47 fragmentation debris,40251,1997-082L,,Payload Fragmentation Debris,,,,,,,,,
40249,Iridium 47 fragmentation debris,40252,1997-082M,,Payload Fragmentation Debris,,,,,,,,,
40250,Iridium 47 fragmentation debris,40253,1997-082N,,Payload Fragmentation Debris,,,,,,22/05/2015,,,
40251,Iridium 47 fragmentation debris,40254,1997-082P,,Payload Fragmentation Debris,,,,,,,,,
40252,Iridium 47 fragmentation debris,40255,1997-082Q,,Payload Fragmentation Debris,,,,,,,,,
40253,Iridium 47 fragmentation debris,40256,1997-082R,,Payload Fragmentation Debris,,,,,,24/11/2018,,,
40254,Iridium 47 fragmentation debris,40257,1997-082S,,Payload Fragmentation Debris,,,,,,29/03/2015,,,
40255,Luch,40258,2014-058A,,Payload,3000,Cyl + 2 Pan + 2 Dish,4.1,6.6,16,,69.141217663186,13.2025431267111,40.9263458648905
40256,Briz-M (Proton-M/Briz-M),40259,2014-058B,,Rocket Body,1600,Cyl,2.5,2.6,2.6,,16.3117647854985,10.4,14.451326206513
40257,Briz-M auxiliary tank (DTB),40260,2014-058C,,Rocket Mission Related Object,1000,Torus,4,2.1,4,,12.5663706143592,7.45360590058275,8.21789806830189
40258,Shi Jian 11-07,40261,2014-059A,,Payload,300,Box + 2 Pan,1,1,3,,3.33225579443775,1,2.04533333333333
40259,L-55 (YF24) (Long March (CZ) 2C),40262,2014-059B,,Rocket Body,3800,Cyl,3.3,8.4,8.4,,29.4881078288117,8.81413088872786,26.5081697623681
40260,CZ-2C operational debris (sep motor cover),40263,2014-059C,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40261,CZ-2C operational debris (sep motor cover),40264,2014-059D,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40262,CZ-2C operational debris (sep motor cover),40265,2014-059E,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40263,CZ-2C operational debris (sep motor cover),40266,2014-059F,,Rocket Mission Related Object,1,Cone,0.2,0.2,0.2,,0.0314,0.02,0.0254
40264,Himawari 8,40267,2014-060A,,Payload,3500,Box + 1 Pan + 1 Rod,4,8,30,,118.400351021852,16,63.5506666666667
40265,H-II LE-5B (H-IIA 202),40268,2014-060B,,Rocket Body,4000,Cyl,4,9.2,9.2,,38.8864201285928,12.5663706143592,35.1858377202057
40266,IRNSS-R1C,40269,2014-061A,,Payload,1425,Box + 2 Pan,1.5,1.6,10,,14.2725439829423,2.25,6.96133333333333
40267,PSLV fourth stage (PS4) (PSLV-XL),40270,2014-061B,,Rocket Body,920,Cyl + Cyl + 2 Nozzle,2.8,2.7,2.7,,6.24736779780808,3.14159265358979,5.81194640914112
40268,"Intelsat 30 (DLA 1, ISDLA 1)",40271,2014-062A,,Payload,6320,Box + 2 Pan,3.1,8.6,32.4,,111.573003917695,9.61,55.8005333333333
40269,ARSAT-1,40272,2014-062B,,Payload,2983,Box + 2 Pan,2.2,3.1,16.3,,35.6076441812915,4.84,17.5707333333333
40270,ESC-A (Ariane 5ECA),40273,2014-062C,,Rocket Body,5000,Cyl + 1 Nozzle,5.5,7,7,,44.7172401346055,23.3282889483127,41.627084407769
40271,Ariane 5 operational debris (Sylda adapter),40274,2014-062D,,Rocket Mission Related Object,440,Cyl,4.5,5.5,5.5,24/01/2021,29.4195456443519,15.9043128087983,27.390760948486
40272,Yaogan Weixing 22,40275,2014-063A,,Payload,1040,Box + 2 Pan,1.5,1.5,5,,8.09732871631961,2.25,4.79466666666667
40273,L-14B-res (YF40B-res) (Long March (CZ) 4C),40276,2014-063B,,Rocket Body,1000,Cyl,2.9,7.5,7.5,,22.7308413381477,6.60519855417254,20.3850093309808
40274,Ekspress-AM 6,40277,2014-064A,,Payload,3200,Cyl + 2 Pan,2,6,27,,52.4052127871099,3.14159265358979,24.4229076208976
40275,Briz-M (Proton-M/Briz-M),40278,2014-064B,,Rocket Body,1600,Cyl,2.5,2.6,2.6,,16.3117647854985,10.4,14.451326206513
