,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
2296,Apollo 15 Subsatellite,1971-07-26,2.6,,,,1971-063D,35.98,0.36,0.79,0.79,True,1.2861111111111112,13,0,4,204,25,13
2298,Kosmos-432,1971-08-05,6.0,189.0,261.0,51.77,1971-066A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2300,LOADS 2,1971-08-07,0.7,127.0,1762.0,92.01,1971-067C,360.75,0.66,0.66,0.66,True,177.0,83,0,25,150,9,4
2301,RTDS,1971-08-07,0.3,131.0,811.0,87.59,1971-067D,60.46,0.3,0.3,0.3,True,43.0,83,0,25,205,6,4
2302,OV1-20,1971-08-07,2.1,129.0,1610.0,91.98,1971-067A,69.38,0.7,2.1,2.1,True,22.0,82,0,50,206,9,2
2304,AVL-802 Mylar Sphere,1971-08-07,2.1,761.0,912.0,87.57,1971-067F,0.79,2.13,2.13,2.13,True,309.0,52,0,91,207,9,4
2305,OV1-21,1971-08-07,32.0,787.0,915.0,87.64,1971-067B,69.38,0.69,0.82,0.82,True,,82,0,50,206,9,2
2306,LCS 4,1971-08-07,1.0,761.0,912.0,87.57,1971-067E,38.0,1.0,1.0,1.0,True,,84,0,46,83,9,4
2307,AVL-802 Grid Sphere 7-2,1971-08-07,2.1,778.0,913.0,87.63,1971-067G,3.96,2.13,2.13,2.13,True,2780.0,85,0,92,207,9,4
2308,Kosmos-433,1971-08-08,2.3,112.0,299.0,49.41,1971-068A,2973.24,1.0,2.0,2.0,True,,48,1,44,118,1,2
2310,AVL-802 Grid Sphere 7-1,1971-08-07,2.1,778.0,915.0,87.63,1971-067H,6.14,2.13,2.13,2.13,True,3009.0,85,0,92,207,9,4
2311,Kosmos-434,1971-08-12,5.2,188.0,11777.0,51.58,1971-069A,7016.85,5.2,3.0,5.2,True,3664.0,46,1,56,188,4,4
2313,OPS 8607,1971-08-12,5.7,130.0,405.0,110.98,1971-070A,2973.24,1.52,7.08,7.08,True,,16,0,3,115,15,2
2314,AVL-802 Rigid Sphere,1971-08-07,0.6,784.0,916.0,87.63,1971-067P,1.59,0.61,0.61,0.61,True,3678.0,85,0,92,207,9,4
2316,Eole,1971-08-16,10.0,676.0,905.0,50.15,1971-071A,83.25,0.71,0.58,0.71,True,,43,6,88,192,0,107
2319,Kosmos-435,1971-08-27,1.2,265.0,456.0,70.96,1971-072A,322.1,1.2,1.8,1.8,True,154.0,59,1,44,27,1,11
2321,Luna-18 KT,1971-09-02,5.0,200.0,,51.5,1971-073A,5700.0,3.5,1.5,5.0,True,1.0,45,1,54,167,7,98
2326,Kosmos-436,1971-09-07,5.1,509.0,541.0,74.04,1971-074A,867.2,1.0,2.0,2.0,True,3041.0,81,1,44,156,1,20
2328,Kosmos-437,1971-09-10,5.1,519.0,543.0,74.05,1971-075A,867.2,1.0,2.0,2.0,True,3123.0,81,1,44,156,1,20
2330,OPS 5454,1971-09-10,2.3,146.0,225.0,74.95,1971-076A,1982.16,1.52,7.08,7.08,True,,11,0,3,137,1,2
2331,ARROYO,1971-09-10,0.8,487.0,504.0,75.07,1971-076B,59.46,0.9,0.3,0.9,True,1607.0,16,0,13,50,1,14
2332,Kosmos-438,1971-09-14,6.0,204.0,296.0,65.39,1971-077A,6243.81,2.4,6.49,6.49,True,,58,1,63,173,1,1
2334,Kosmos-439,1971-09-21,6.5,206.0,283.0,65.44,1971-078A,5649.16,2.4,5.0,5.0,True,,58,1,63,145,1,1
2336,Kosmos-440,1971-09-24,1.4,269.0,770.0,71.01,1971-079A,297.32,1.2,1.8,1.8,True,401.0,59,1,44,27,1,11
2339,Shinsei,1971-09-28,0.8,869.0,1867.0,32.07,1971-080A,64.42,0.71,0.75,0.75,True,,72,10,89,195,0,24
2340,Kosmos-441,1971-09-28,6.0,181.0,260.0,65.02,1971-081A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2342,Luna-19,1971-09-28,6.0,200.0,,51.5,1971-082A,3800.0,3.5,3.5,6.0,True,1.0,45,1,54,167,7,108
2345,OSO 7,1971-09-29,2.0,324.0,569.0,33.13,1971-083A,629.34,1.42,1.71,1.71,True,1014.0,2,0,14,20,1,8
2346,Kosmos-442,1971-09-29,6.0,199.0,302.0,72.9,1971-084A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2350,Kosmos-443,1971-10-07,6.5,201.0,300.0,65.41,1971-085A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2354,Kosmos-444,1971-10-13,0.8,1322.0,1509.0,74.03,1971-086A,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2355,Kosmos-445,1971-10-13,0.8,1351.0,1512.0,74.03,1971-086B,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2356,Kosmos-446,1971-10-13,0.8,1382.0,1512.0,74.03,1971-086C,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2357,Kosmos-447,1971-10-13,0.8,1412.0,1514.0,74.03,1971-086D,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2358,Kosmos-448,1971-10-13,0.8,1441.0,1517.0,74.03,1971-086E,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2359,Kosmos-449,1971-10-13,0.8,1483.0,1542.0,74.02,1971-086F,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2360,Kosmos-450,1971-10-13,0.8,1462.0,1530.0,74.03,1971-086G,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2361,Kosmos-451,1971-10-13,0.8,1489.0,1574.0,74.02,1971-086H,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2363,DMSP 4527,1971-10-14,2.1,793.0,878.0,98.96,1971-087A,508.42,1.1,1.64,1.64,True,,52,0,8,208,10,0
2364,Kosmos-452,1971-10-14,6.0,175.0,281.0,64.97,1971-088A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2366,P71-2,1971-10-17,11.3,772.0,800.0,92.73,1971-089A,1486.62,1.5,9.59,9.59,True,,82,0,3,209,9,20
2368,Kosmos-453,1971-10-19,1.2,266.0,471.0,70.99,1971-090A,322.1,1.2,1.8,1.8,True,152.0,59,1,44,27,1,11
2370,OPS 7616,1971-10-23,5.7,130.0,393.0,110.94,1971-092A,2973.24,1.52,7.08,7.08,True,,16,0,3,115,15,2
2372,Prospero,1971-10-28,1.1,545.0,1580.0,82.06,1971-093A,65.41,1.12,0.7,1.12,True,,86,2,93,210,0,24
2374,Kosmos-454,1971-11-02,6.0,199.0,352.0,65.44,1971-094A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2376,DSCS II F-1,1971-11-03,3.6,35783.0,35792.0,2.56,1971-095A,517.34,2.74,1.83,2.74,True,,87,0,4,211,16,2
2377,DSCS II F-2,1971-11-03,3.6,35773.0,35788.0,2.58,1971-095B,517.34,2.74,1.83,2.74,True,,87,0,4,211,16,2
2379,SSS 1,1971-11-15,5.2,234.0,26780.0,3.56,1971-096A,51.54,0.68,0.76,0.76,True,,2,0,22,212,8,14
2382,Kosmos-455,1971-11-17,1.2,266.0,468.0,70.98,1971-097A,322.1,1.2,1.8,1.8,True,144.0,59,1,44,27,1,11
2384,Kosmos-456,1971-11-19,6.0,175.0,302.0,72.86,1971-098A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2386,Kosmos-457,1971-11-20,17.0,1183.0,1220.0,74.05,1971-099A,644.2,1.6,1.6,1.6,True,,33,1,85,143,0,95
2390,Molniya-2,1971-11-24,8.2,453.0,39318.0,65.44,1971-100A,1650.0,1.4,4.4,8.2,True,1629.0,73,1,36,213,17,30
2391,Kosmos-458,1971-11-29,1.2,266.0,473.0,70.98,1971-101A,322.1,1.2,1.8,1.8,True,143.0,59,1,44,27,1,11
2393,Kosmos-459,1971-11-29,1.4,217.0,249.0,65.81,1971-102A,743.31,2.0,4.0,4.0,True,28.0,54,1,44,27,1,2
2395,Kosmos-460,1971-11-30,5.1,516.0,538.0,74.02,1971-103A,867.2,1.0,2.0,2.0,True,3018.0,81,1,44,156,1,20
2398,Interkosmos-5,1971-12-02,3.7,198.0,1044.0,48.43,1971-104A,336.97,1.2,1.8,1.8,True,127.0,66,1,44,91,0,11
2401,Kosmos-462,1971-12-03,4.2,225.0,1778.0,65.74,1971-106A,1486.62,2.0,4.0,4.0,True,1218.0,54,1,67,138,0,2
2403,Kosmos-463,1971-12-06,6.0,182.0,263.0,64.96,1971-107A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2406,Kosmos-464,1971-12-10,6.0,203.0,377.0,72.86,1971-108A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2408,Ariel 4,1971-12-11,15.0,473.0,590.0,82.99,1971-109A,98.61,0.76,0.91,0.91,True,2558.0,51,2,93,214,1,109
2411,OPS 7898 P/L 2,1971-12-14,1.5,987.0,987.0,70.0,1971-110C,,0.9,2.4,2.4,True,,23,0,19,130,0,8
2412,OPS 7898 P/L 3,1971-12-14,1.5,978.0,993.0,70.0,1971-110D,,0.9,2.4,2.4,True,,23,0,19,130,0,8
2413,OPS 7898 P/L 4,1971-12-14,1.5,979.0,994.0,70.0,1971-110E,128.0,0.9,2.4,2.4,True,,23,0,19,130,0,8
2414,Kosmos-465,1971-12-15,17.0,969.0,1010.0,74.03,1971-111A,693.76,2.0,1.4,2.0,True,,33,1,85,128,0,2
2417,Kosmos-466,1971-12-16,6.0,178.0,277.0,64.99,1971-112A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2420,Kosmos-467,1971-12-17,1.2,262.0,451.0,70.99,1971-113A,322.1,1.2,1.8,1.8,True,123.0,59,1,44,27,1,11
2421,Kosmos-468,1971-12-17,3.0,784.0,807.0,74.02,1971-114A,743.31,1.0,2.0,2.0,True,,33,1,36,185,0,20
2425,INTELSAT IV F3,1971-12-20,5.3,35779.0,35797.0,0.2,1971-116A,700.69,2.39,2.82,2.82,True,,38,5,21,194,16,2
2427,Molniya-1,1971-12-19,8.6,432.0,39923.0,65.47,1971-115A,1650.0,1.4,4.4,8.6,True,1942.0,73,1,36,67,17,30
2429,Kosmos-469,1971-12-25,5.8,944.0,1017.0,64.48,1971-117A,1250.0,2.0,5.99,5.99,True,,56,1,67,146,0,3
2431,Kosmos-470,1971-12-27,6.5,192.0,258.0,65.41,1971-118A,5847.37,2.4,5.89,5.89,True,,58,1,63,215,1,1
2433,Aureole 1,1971-12-27,4.0,399.0,2474.0,73.99,1971-119A,396.43,1.5,1.8,1.8,True,,88,1,44,91,0,103
2435,Meteor,1971-12-29,4.5,840.0,928.0,81.25,1971-120A,1280.0,1.4,4.5,4.5,True,,75,1,23,70,0,20
2438,SA Marsa-2,1971-05-19,2.0,170.0,inf,51.0,1971-045D,1210.0,1.2,1.2,2.0,True,3.0,89,1,54,216,3,110
2440,Kosmos-471,1972-01-12,6.0,175.0,305.0,65.05,1972-001A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2442,OPS 1737,1972-01-20,15.8,147.0,321.0,97.02,1972-002A,13181.37,3.0,14.99,14.99,True,,16,0,3,202,12,20
2444,MABELI,1972-01-20,0.8,469.0,547.0,96.58,1972-002D,59.46,0.9,0.3,0.9,True,2644.0,16,0,65,50,12,14
2445,INTELSAT IV F4,1972-01-23,5.3,35671.0,35905.0,0.31,1972-003A,714.07,2.39,2.82,2.82,True,,38,5,21,194,16,2
2446,Kosmos-472,1972-01-25,1.2,195.0,1417.0,81.99,1972-004A,247.77,1.2,1.8,1.8,True,206.0,59,1,44,27,0,11
2449,HEOS 2,1972-01-31,2.6,994.0,239335.0,90.0,1972-005A,115.96,1.33,0.75,1.33,True,1.4638888888888888,62,8,94,159,14,2
2453,Kosmos-473,1972-02-03,6.5,205.0,309.0,65.01,1972-006A,5649.16,2.4,5.0,5.0,True,,73,1,63,145,1,1
2455,Luna-20 VA,1972-02-14,0.5,,,,1972-007A,39.0,0.5,0.5,0.5,True,1.0,45,1,54,217,7,4
2459,Kosmos-474,1972-02-16,6.0,176.0,324.0,64.97,1972-008A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2462,Kosmos-475,1972-02-25,17.0,965.0,1001.0,74.05,1972-009A,693.76,2.0,1.4,2.0,True,,33,1,85,128,0,2
2465,DSP F3,1972-03-01,7.4,35692.0,35881.0,5.72,1972-010A,812.69,2.5,5.99,5.99,True,,52,0,4,186,22,12
2466,Kosmos-476,1972-03-01,13.1,613.0,633.0,81.21,1972-011A,3766.11,1.5,5.0,5.0,True,7177.0,57,1,44,193,0,20
2470,Pioneer 10,1972-03-03,8.0,186.0,-22379.0,31.48,1972-012A,255.7,0.35,0.71,2.75,True,0.2611111111111111,44,0,4,218,3,13
2472,Kosmos-477,1972-03-04,6.5,201.0,300.0,72.86,1972-013A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2475,TD-1A,1972-03-12,4.5,525.0,544.0,97.56,1972-014A,467.05,0.89,0.99,2.12,True,2859.0,62,8,95,219,12,111
2477,Kosmos-478,1972-03-15,6.0,175.0,281.0,65.39,1972-015A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2479,OPS 1678,1972-03-17,5.7,135.0,392.0,110.97,1972-016A,2973.24,1.52,7.08,7.08,True,,16,0,3,115,15,2
2480,Kosmos-479,1972-03-22,5.1,512.0,538.0,74.05,1972-017A,867.2,1.0,2.0,2.0,True,2944.0,81,1,44,156,1,20
2482,DMSP 5528,1972-03-24,2.1,800.0,884.0,98.79,1972-018A,508.42,1.1,1.64,1.64,True,,52,0,8,208,10,0
2483,Kosmos-480,1972-03-25,17.0,1173.0,1201.0,82.98,1972-019A,644.2,1.6,1.6,1.6,True,,33,1,36,143,0,95
2484,Kosmos-481,1972-03-25,1.2,262.0,479.0,71.02,1972-020A,371.66,1.2,1.8,1.8,True,161.0,59,1,44,27,1,11
2490,Meteor,1972-03-30,4.5,864.0,891.0,81.23,1972-022A,1280.0,1.4,4.5,4.5,True,,75,1,23,70,0,20
2492,Kosmos-482,1972-03-31,6.0,205.0,9732.0,52.13,1972-023A,1169.47,1.2,3.5,3.5,True,3322.0,45,1,54,34,4,1
2496,Kosmos-483,1972-04-03,6.0,175.0,307.0,72.85,1972-024A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2498,Molniya-1,1972-04-04,8.6,439.0,39912.0,65.53,1972-025A,1650.0,1.4,4.4,8.6,True,666.0,73,1,36,67,17,30
2501,Kosmos-484,1972-04-06,6.5,193.0,219.0,81.31,1972-026A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2503,Interkosmos-6,1972-04-07,6.5,202.0,244.0,51.76,1972-027A,1060.46,2.4,5.0,5.0,True,,58,1,63,220,1,2
2505,Kosmos-485,1972-04-11,1.2,262.0,444.0,70.99,1972-028A,322.1,1.2,1.8,1.8,True,141.0,59,1,44,27,1,11
2508,Prognoz,1972-04-14,10.0,468.0,200002.0,64.93,1972-029A,837.46,1.8,1.8,1.8,True,0.8527777777777777,45,1,54,221,14,112
2511,Kosmos-486,1972-04-14,6.0,176.0,228.0,81.33,1972-030A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2515,Casper,1972-04-16,3.9,202.0,471165.0,32.51,1972-031A,14690.0,3.9,3.5,3.9,True,0.88125,13,0,34,65,7,0
2518,OPS 5640,1972-04-19,2.3,156.0,247.0,81.48,1972-032A,1982.16,1.52,7.08,7.08,True,,11,0,3,137,1,2
2520,Kosmos-487,1972-04-21,1.2,262.0,468.0,70.97,1972-033A,322.1,1.2,1.8,1.8,True,156.0,59,1,44,27,1,11
2524,Kosmos-488,1972-05-05,6.0,176.0,274.0,65.41,1972-034A,6243.81,2.4,6.49,6.49,True,,73,1,63,173,1,1
2526,Kosmos-489,1972-05-06,17.0,965.0,1003.0,74.02,1972-035A,693.76,2.0,1.4,2.0,True,,33,1,85,128,0,2
2528,Kosmos-490,1972-05-17,6.5,203.0,281.0,65.41,1972-036A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2533,Molniya-2,1972-05-19,8.2,413.0,40061.0,65.45,1972-037A,1650.0,1.4,4.4,8.2,True,1768.0,73,1,36,213,17,30
2535,Kosmos-491,1972-05-25,6.0,174.0,319.0,65.0,1972-038A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2537,OPS 6371,1972-05-25,2.3,157.0,315.0,96.35,1972-039A,1982.16,1.52,7.08,7.08,True,10.980555555555556,11,0,3,137,12,2
2540,Kosmos-492,1972-06-09,6.0,166.0,324.0,64.96,1972-040A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2542,INTELSAT IV F5,1972-06-13,5.3,35786.0,35788.0,0.1,1972-041A,713.58,2.39,2.82,2.82,True,,38,5,21,194,16,2
2543,Kosmos-493,1972-06-21,6.5,202.0,267.0,64.97,1972-042A,5649.16,2.4,5.0,5.0,True,,73,1,63,145,1,1
2547,Kosmos-494,1972-06-23,3.0,788.0,803.0,74.07,1972-043A,743.31,1.0,2.0,2.0,True,,33,1,36,185,0,2
2548,Kosmos-495,1972-06-23,6.0,199.0,274.0,65.42,1972-044A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2551,Kosmos-496,1972-06-26,7.2,188.0,317.0,51.6,1972-045A,6511.4,2.2,7.49,7.49,True,6.579861111111111,46,1,56,222,1,113
2553,Prognoz-2,1972-06-29,10.0,419.0,201802.0,65.3,1972-046A,837.46,1.8,1.8,1.8,True,0.96875,45,1,54,221,14,112
2557,Interkosmos-7,1972-06-30,2.8,255.0,508.0,48.42,1972-047A,371.66,1.2,1.8,1.8,True,97.0,66,1,44,132,1,102
2558,Kosmos-497,1972-06-30,1.4,270.0,766.0,71.0,1972-048A,297.32,1.2,1.8,1.8,True,495.0,59,1,44,27,1,11
2561,Meteor,1972-06-30,4.5,888.0,902.0,81.22,1972-049A,1280.0,1.4,4.5,4.5,True,,75,1,23,70,0,20
2563,Kosmos-498,1972-07-05,1.2,266.0,461.0,70.97,1972-050A,322.1,1.2,1.8,1.8,True,143.0,59,1,44,27,1,11
2566,Kosmos-499,1972-07-06,6.0,187.0,249.0,51.75,1972-051A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2568,OPS 7293,1972-07-07,15.8,175.0,252.0,96.87,1972-052A,13181.37,3.0,14.99,14.99,True,,16,0,3,202,12,20
2570,URSALA I,1972-07-07,0.8,493.0,501.0,96.14,1972-052C,59.46,0.9,0.3,0.9,True,2129.0,16,0,96,223,12,14
2571,Kosmos-500,1972-07-10,5.1,506.0,543.0,74.06,1972-053A,867.2,1.0,2.0,2.0,True,2819.0,81,1,44,156,1,20
2573,Kosmos-501,1972-07-12,1.2,215.0,2072.0,48.44,1972-054A,247.77,1.2,1.8,1.8,True,666.0,59,1,44,27,0,11
2575,Kosmos-502,1972-07-13,6.5,200.0,263.0,65.4,1972-055A,5847.37,2.4,5.89,5.89,True,,58,1,63,215,1,1
2578,Kosmos-503,1972-07-19,6.0,186.0,264.0,65.43,1972-056A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2580,Kosmos-504,1972-07-20,0.8,1323.0,1496.0,74.03,1972-057A,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2581,Kosmos-505,1972-07-20,0.8,1353.0,1497.0,74.03,1972-057B,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2582,Kosmos-506,1972-07-20,0.8,1383.0,1496.0,74.03,1972-057C,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2583,Kosmos-507,1972-07-20,0.8,1413.0,1496.0,74.03,1972-057D,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2584,Kosmos-508,1972-07-20,0.8,1444.0,1496.0,74.03,1972-057E,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2585,Kosmos-509,1972-07-20,0.8,1474.0,1498.0,74.03,1972-057F,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2586,Kosmos-510,1972-07-20,0.8,1495.0,1510.0,74.03,1972-057G,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2587,Kosmos-511,1972-07-20,0.8,1495.0,1546.0,74.03,1972-057H,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2589,ERTS 1,1972-07-23,3.7,902.0,917.0,99.11,1972-058A,808.72,1.45,3.0,3.0,True,905.0,2,0,26,69,10,6
2593,Kosmos-512,1972-07-28,6.5,202.0,271.0,65.38,1972-059A,5649.16,2.4,5.0,5.0,True,,73,1,63,145,1,1
2596,Kosmos-513,1972-08-02,6.0,173.0,311.0,64.97,1972-060A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2598,Explorer 46,1972-08-13,7.0,494.0,810.0,37.7,1972-061A,173.44,0.6,3.2,7.0,True,2637.0,9,0,10,224,0,12
2600,Kosmos-514,1972-08-16,17.0,956.0,973.0,82.97,1972-062A,693.76,1.9,1.3,1.9,True,,33,1,85,128,0,2
2602,Kosmos-515,1972-08-18,6.0,204.0,305.0,72.9,1972-063A,6243.81,2.4,6.49,6.49,True,,73,1,63,173,1,1
2604,Denpa,1972-08-19,4.0,236.0,6273.0,31.06,1972-064A,75.32,0.71,0.68,0.71,True,2830.0,72,10,89,225,4,14
2605,Copernicus,1972-08-21,5.0,735.0,747.0,35.01,1972-065A,2200.2,2.15,3.05,3.05,True,,2,0,57,106,0,59
2606,Kosmos-516,1972-08-21,5.8,247.0,265.0,64.97,1972-066A,1250.0,2.0,5.99,5.99,True,,56,1,67,146,1,3
2609,Kosmos-517,1972-08-30,6.5,201.0,286.0,64.98,1972-067A,5649.16,2.4,5.0,5.0,True,,73,1,63,145,1,1
2611,OPS 8888,1972-09-01,5.7,150.0,382.0,110.41,1972-068A,2973.24,1.52,7.08,7.08,True,,16,0,3,115,15,2
2612,Triad OI-1X,1972-09-02,7.5,741.0,837.0,90.13,1972-069A,93.16,0.59,7.29,7.29,True,,47,0,6,226,9,114
2614,Kosmos-518,1972-09-15,6.5,201.0,304.0,72.83,1972-070A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2616,Kosmos-519,1972-09-16,6.0,205.0,358.0,71.34,1972-071A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2618,Kosmos-520,1972-09-19,5.0,742.0,39477.0,62.88,1972-072A,1238.85,1.6,4.2,4.2,True,,59,1,97,227,26,115
2622,IMP 7,1972-09-23,8.2,201100.0,235600.0,17.2,1972-073A,386.52,1.35,1.58,1.58,True,0.7604166666666666,2,0,22,58,14,2
2623,Kapsula Kosmosa-518,1972-09-15,1.8,196.0,271.0,72.84,1972-070C,198.22,1.9,0.9,1.9,True,12.0,58,1,63,170,1,11
2627,Kosmos-521,1972-09-29,1.4,976.0,1008.0,65.83,1972-074A,743.31,2.0,4.0,4.0,True,,54,1,44,27,0,2
2629,Molniya-2,1972-09-30,8.2,473.0,39865.0,65.39,1972-075A,1650.0,1.4,4.4,8.2,True,1930.0,73,1,36,213,17,30
2632,Radcat,1972-10-02,7.9,729.0,747.0,98.43,1972-076A,206.14,3.048,1.219,1.219,True,14549.0,90,0,50,228,10,2
2633,Kosmos-522,1972-10-04,6.0,204.0,314.0,72.84,1972-077A,6243.81,2.4,6.49,6.49,True,,73,1,63,161,1,1
2635,Kosmos-523,1972-10-05,1.2,264.0,450.0,71.01,1972-078A,322.1,1.2,1.8,1.8,True,153.0,59,1,44,27,1,11
2637,OPS 8314,1972-10-10,15.8,160.0,270.0,96.43,1972-079A,13181.37,3.0,14.99,14.99,True,,16,0,3,202,12,20
2639,Kosmos-524,1972-10-11,1.2,259.0,476.0,70.99,1972-080A,322.1,1.2,1.8,1.8,True,165.0,59,1,44,27,1,11
2641,Molniya-1,1972-10-14,8.6,638.0,39716.0,65.31,1972-081A,1650.0,1.4,4.4,8.6,True,1844.0,73,1,36,67,17,30
2644,NOAA 2,1972-10-15,4.3,1450.0,1456.0,101.77,1972-082A,331.02,1.02,1.02,1.25,True,,69,0,8,174,10,100
2645,AMSAT-OSCAR-6,1972-10-15,0.4,1448.0,1457.0,101.75,1972-082B,15.86,0.3,0.15,0.43,True,,91,0,98,229,10,8
2648,Kosmos-525,1972-10-18,6.5,203.0,268.0,65.4,1972-083A,5847.37,2.4,5.89,5.89,True,,73,1,63,145,1,1
2650,Kosmos-526,1972-10-25,1.2,264.0,461.0,70.95,1972-084A,322.1,1.2,1.8,1.8,True,165.0,59,1,44,27,1,11
2652,Meteor,1972-10-26,4.5,864.0,890.0,81.25,1972-085A,1280.0,1.4,4.5,4.5,True,,75,1,23,70,0,20
2654,Kapsula Kosmosa-525,1972-10-18,1.8,191.0,258.0,65.37,1972-083C,198.22,1.9,0.9,1.9,True,14.0,58,1,63,170,1,11
2655,Kosmos-527,1972-10-31,6.0,178.0,276.0,65.41,1972-086A,6243.81,2.4,6.49,6.49,True,,73,1,63,173,1,1
2657,Kosmos-528,1972-11-01,0.8,1367.0,1468.0,74.03,1972-087A,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2658,Kosmos-529,1972-11-01,0.8,1403.0,1468.0,74.04,1972-087B,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2659,Kosmos-530,1972-11-01,0.8,1334.0,1468.0,74.04,1972-087C,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2660,Kosmos-531,1972-11-01,0.8,1422.0,1469.0,74.04,1972-087D,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2661,Kosmos-532,1972-11-01,0.8,1301.0,1468.0,74.04,1972-087E,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2662,Kosmos-533,1972-11-01,0.8,1317.0,1469.0,74.04,1972-087F,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2663,Kosmos-534,1972-11-01,0.8,1350.0,1468.0,74.04,1972-087G,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2664,Kosmos-535,1972-11-01,0.8,1384.0,1469.0,74.04,1972-087H,39.64,0.8,1.0,1.0,True,,33,1,36,181,0,4
2666,Kosmos-536,1972-11-03,5.1,515.0,542.0,74.02,1972-088A,867.2,1.0,2.0,2.0,True,2816.0,81,1,44,156,1,20
2668,DMSP 6530,1972-11-09,2.1,810.0,871.0,98.64,1972-089A,508.42,1.1,1.64,1.64,True,,52,0,8,208,10,0
2669,Anik A1,1972-11-10,3.5,35775.0,35798.0,0.28,1972-090A,292.37,1.83,1.52,1.83,True,,92,3,21,230,16,2
2672,SAS 2,1972-11-15,4.0,444.0,632.0,1.9,1972-091A,184.34,0.55,1.29,1.29,True,,2,0,6,191,20,12
2673,ESRO 4,1972-11-22,3.0,240.0,1124.0,91.12,1972-092A,112.98,0.76,0.9,0.9,True,509.0,62,8,69,147,9,54
2675,Kosmos-537,1972-11-25,6.5,202.0,302.0,64.95,1972-093A,5649.16,2.4,5.0,5.0,True,,73,1,63,145,1,1
2677,Interkosmos-8,1972-11-30,2.4,197.0,564.0,71.0,1972-094A,336.97,1.2,1.8,1.8,True,92.0,66,1,44,99,1,102
2679,Molniya-1,1972-12-02,8.6,473.0,39879.0,64.97,1972-095A,1650.0,1.4,4.4,8.6,True,1166.0,73,1,36,67,17,30
2682,America,1972-12-07,3.9,201.0,457377.0,28.47,1972-096A,30069.38,3.91,11.14,11.14,True,0.3951388888888889,13,0,34,65,7,3
2687,Nimbus 5,1972-12-11,3.6,1091.0,1105.0,99.95,1972-097A,763.13,1.45,3.05,3.35,True,,2,0,26,69,10,6
