,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
52,Discoverer 38,1962-02-27,2.3,207.0,357.0,82.23,1962-005A,941.53,1.52,7.61,7.61,True,22.0,11,0,3,19,1,3
53,OSO 1,1962-03-07,2.3,546.0,601.0,32.83,1962-006A,206.14,1.12,0.94,1.12,True,7155.0,2,0,14,20,1,8
54,Samos 6,1962-03-07,2.0,241.0,655.0,90.89,1962-007A,600.0,1.6,2.0,2.0,True,,15,0,3,16,6,9
58,Kosmos-1,1962-03-16,1.2,208.0,731.0,49.02,1962-008A,312.19,1.2,1.8,1.8,True,70.0,17,1,15,21,1,11
60,Kosmos-2,1962-04-06,1.8,218.0,1449.0,48.95,1962-009A,282.46,1.2,1.8,1.8,True,501.0,1,1,1,22,0,11
62,Midas 5,1962-04-09,2.0,2818.0,3370.0,86.69,1962-010A,1982.16,1.5,8.99,8.99,True,,7,0,3,10,4,2
63,Discoverer 39,1962-04-18,2.3,201.0,504.0,73.5,1962-011A,1139.74,1.5,7.99,7.99,True,40.0,11,0,3,19,1,2
64,Ranger 4,1962-04-23,5.2,,inf,,1962-012A,328.05,1.53,3.13,5.18,True,3.5347222222222223,8,0,5,17,3,6
65,Kosmos-3,1962-04-24,1.8,226.0,632.0,49.0,1962-013A,327.06,1.2,1.8,1.8,True,176.0,1,1,1,22,1,11
69,Ariel 1,1962-04-26,3.0,397.0,1202.0,53.86,1962-015A,59.46,0.58,0.53,0.58,True,5142.0,18,2,16,23,0,12
70,Kosmos-4,1962-04-26,6.5,298.0,330.0,65.0,1962-014A,4558.97,2.4,4.3,4.3,True,,1,1,1,24,1,1
72,FTV 1125,1962-04-29,2.3,190.0,414.0,73.11,1962-017A,1139.74,1.5,7.99,7.99,True,27.0,11,0,3,19,1,2
73,FTV 1126,1962-05-15,1.3,284.0,632.0,82.3,1962-018A,1139.74,1.5,7.99,7.99,True,560.0,19,0,3,25,1,2
74,Aurora Seven,1962-05-24,2.9,154.0,260.0,32.5,1962-019A,1336.97,1.83,2.9,2.9,True,0.7368055555555556,13,0,11,14,1,0
76,Kosmos-5,1962-05-28,1.8,207.0,1500.0,49.06,1962-020A,277.5,1.5,1.8,1.8,True,339.0,1,1,1,22,0,11
78,FTV 1128,1962-05-30,2.3,192.0,315.0,74.1,1962-021A,1139.74,1.5,7.99,7.99,True,12.0,11,0,3,19,1,2
79,FTV 1127,1962-06-02,2.3,196.0,373.0,74.25,1962-022A,1139.74,1.5,7.99,7.99,True,26.0,11,0,3,19,1,2
80,OSCAR 2,1962-06-02,0.3,188.0,340.0,74.29,1962-022B,4.96,0.15,0.25,0.3,True,19.0,14,0,12,15,1,8
81,FTV 2312,1962-06-18,4.0,370.0,395.0,82.11,1962-024A,1486.62,1.5,7.99,7.99,True,499.0,16,0,13,26,1,2
82,Tiros 5,1962-06-19,1.1,585.0,975.0,58.07,1962-025A,127.85,1.07,0.56,1.07,True,,2,0,8,9,0,2
84,FTV 1129,1962-06-23,2.3,208.0,267.0,75.09,1962-026A,1139.74,1.5,7.99,7.99,True,14.0,11,0,3,19,1,2
85,FTV 1151,1962-06-28,2.3,193.0,583.0,76.08,1962-027A,1139.74,1.5,7.99,7.99,True,78.0,11,0,3,19,1,2
86,Kosmos-6,1962-06-30,1.2,262.0,304.0,48.94,1962-028A,351.83,1.2,1.8,1.8,True,70.0,20,1,15,27,1,11
88,Telstar 1,1962-07-10,1.5,956.0,5634.0,44.82,1962-029A,76.31,0.86,0.86,0.86,True,,21,0,17,28,4,4
91,FTV 1130,1962-07-21,2.3,200.0,364.0,70.31,1962-031A,1139.74,1.5,7.99,7.99,True,24.0,11,0,3,19,1,2
92,FTV 1131,1962-07-28,2.3,187.0,375.0,71.09,1962-032A,1139.74,1.5,7.99,7.99,True,27.0,11,0,3,19,1,2
93,Kosmos-7,1962-07-28,6.5,200.0,352.0,64.95,1962-033A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,1
95,FTV 1152,1962-08-02,2.3,193.0,398.0,82.25,1962-034A,1139.74,1.5,7.99,7.99,True,24.0,11,0,3,19,1,2
96,Vostok-3,1962-08-11,6.5,158.0,200.0,64.96,1962-036A,4679.88,2.4,4.3,4.3,True,4.280555555555556,1,1,1,1,1,1
98,Vostok-4,1962-08-12,6.5,168.0,221.0,64.95,1962-037A,4685.83,2.4,4.3,4.3,True,3.285416666666667,1,1,1,1,1,1
100,Kosmos-8,1962-08-18,1.8,259.0,569.0,48.97,1962-038A,333.99,1.2,1.8,1.8,True,364.0,17,1,15,21,1,11
