id,name,satno,cospar id,vimpel id,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2)
30119,Fengyun 1C debris,30122,1999-025SB,,Payload Fragmentation Debris,,,,,,,,,
30120,Fengyun 1C debris,30123,1999-025SC,,Payload Fragmentation Debris,,,,,,,,,
30121,Fengyun 1C debris,30124,1999-025SD,,Payload Fragmentation Debris,,,,,,,,,
30122,Fengyun 1C debris,30125,1999-025SE,,Payload Fragmentation Debris,,,,,,,,,
30123,Fengyun 1C debris,30126,1999-025SF,,Payload Fragmentation Debris,,,,,,30/04/2011,,,
30124,Fengyun 1C debris,30127,1999-025SG,,Payload Fragmentation Debris,,,,,,,,,
30125,Fengyun 1C debris,30128,1999-025SH,,Payload Fragmentation Debris,,,,,,,,,
30126,Fengyun 1C debris,30129,1999-025SJ,,Payload Fragmentation Debris,,,,,,,,,
30127,Fengyun 1C debris,30130,1999-025SK,,Payload Fragmentation Debris,,,,,,25/04/2012,,,
30128,Fengyun 1C debris,30131,1999-025SL,,Payload Fragmentation Debris,,,,,,,,,
30129,Fengyun 1C debris,30132,1999-025SM,,Payload Fragmentation Debris,,,,,,,,,
30130,Fengyun 1C debris,30133,1999-025SN,,Payload Fragmentation Debris,,,,,,,,,
30131,Fengyun 1C debris,30134,1999-025SP,,Payload Fragmentation Debris,,,,,,,,,
30132,Fengyun 1C debris,30135,1999-025SQ,,Payload Fragmentation Debris,,,,,,,,,
30133,Fengyun 1C debris,30136,1999-025SR,,Payload Fragmentation Debris,,,,,,,,,
30134,Fengyun 1C debris,30137,1999-025SS,,Payload Fragmentation Debris,,,,,,,,,
30135,Fengyun 1C debris,30138,1999-025ST,,Payload Fragmentation Debris,,,,,,,,,
30136,Fengyun 1C debris,30139,1999-025SU,,Payload Fragmentation Debris,,,,,,,,,
30137,Fengyun 1C debris,30140,1999-025SV,,Payload Fragmentation Debris,,,,,,,,,
30138,Fengyun 1C debris,30141,1999-025SW,,Payload Fragmentation Debris,,,,,,,,,
30139,Fengyun 1C debris,30142,1999-025SX,,Payload Fragmentation Debris,,,,,,,,,
30140,Fengyun 1C debris,30143,1999-025SY,,Payload Fragmentation Debris,,,,,,,,,
30141,Fengyun 1C debris,30144,1999-025SZ,,Payload Fragmentation Debris,,,,,,,,,
30142,Fengyun 1C debris,30145,1999-025TA,,Payload Fragmentation Debris,,,,,,,,,
30143,Fengyun 1C debris,30146,1999-025TB,,Payload Fragmentation Debris,,,,,,,,,
30144,Fengyun 1C debris,30147,1999-025TC,,Payload Fragmentation Debris,,,,,,,,,
30145,Fengyun 1C debris,30148,1999-025TD,,Payload Fragmentation Debris,,,,,,,,,
30146,Fengyun 1C debris,30149,1999-025TE,,Payload Fragmentation Debris,,,,,,,,,
30147,Fengyun 1C debris,30150,1999-025TF,,Payload Fragmentation Debris,,,,,,,,,
30148,Fengyun 1C debris,30151,1999-025TG,,Payload Fragmentation Debris,,,,,,,,,
30149,Fengyun 1C debris,30152,1999-025TH,,Payload Fragmentation Debris,,,,,,,,,
30150,Fengyun 1C debris,30153,1999-025TJ,,Payload Fragmentation Debris,,,,,,,,,
30151,Fengyun 1C debris,30154,1999-025TK,,Payload Fragmentation Debris,,,,,,,,,
30152,Fengyun 1C debris,30155,1999-025TL,,Payload Fragmentation Debris,,,,,,,,,
30153,Fengyun 1C debris,30156,1999-025TM,,Payload Fragmentation Debris,,,,,,,,,
30154,Fengyun 1C debris,30157,1999-025TN,,Payload Fragmentation Debris,,,,,,,,,
30155,Fengyun 1C debris,30158,1999-025TP,,Payload Fragmentation Debris,,,,,,16/04/2018,,,
30156,Fengyun 1C debris,30159,1999-025TQ,,Payload Fragmentation Debris,,,,,,01/10/2011,,,
30157,Fengyun 1C debris,30160,1999-025TR,,Payload Fragmentation Debris,,,,,,,,,
30158,Fengyun 1C debris,30161,1999-025TS,,Payload Fragmentation Debris,,,,,,,,,
30159,Fengyun 1C debris,30162,1999-025TT,,Payload Fragmentation Debris,,,,,,,,,
30160,Fengyun 1C debris,30163,1999-025TU,,Payload Fragmentation Debris,,,,,,,,,
30161,Fengyun 1C debris,30164,1999-025TV,,Payload Fragmentation Debris,,,,,,,,,
30162,Fengyun 1C debris,30165,1999-025TW,,Payload Fragmentation Debris,,,,,,03/04/2011,,,
30163,Fengyun 1C debris,30166,1999-025TX,,Payload Fragmentation Debris,,,,,,01/01/2012,,,
30164,Fengyun 1C debris,30167,1999-025TY,,Payload Fragmentation Debris,,,,,,,,,
30165,Fengyun 1C debris,30168,1999-025TZ,,Payload Fragmentation Debris,,,,,,,,,
30166,Fengyun 1C debris,30169,1999-025UA,,Payload Fragmentation Debris,,,,,,,,,
30167,Fengyun 1C debris,30170,1999-025UB,,Payload Fragmentation Debris,,,,,,,,,
30168,Fengyun 1C debris,30171,1999-025UC,,Payload Fragmentation Debris,,,,,,,,,
30169,Fengyun 1C debris,30172,1999-025UD,,Payload Fragmentation Debris,,,,,,,,,
30170,Fengyun 1C debris,30173,1999-025UE,,Payload Fragmentation Debris,,,,,,,,,
30171,Fengyun 1C debris,30174,1999-025UF,,Payload Fragmentation Debris,,,,,,,,,
30172,Fengyun 1C debris,30175,1999-025UG,,Payload Fragmentation Debris,,,,,,,,,
30173,Fengyun 1C debris,30176,1999-025UH,,Payload Fragmentation Debris,,,,,,05/07/2007,,,
30174,Fengyun 1C debris,30177,1999-025UJ,,Payload Fragmentation Debris,,,,,,,,,
30175,Fengyun 1C debris,30178,1999-025UK,,Payload Fragmentation Debris,,,,,,,,,
30176,Fengyun 1C debris,30179,1999-025UL,,Payload Fragmentation Debris,,,,,,28/08/2014,,,
30177,Fengyun 1C debris,30180,1999-025UM,,Payload Fragmentation Debris,,,,,,,,,
30178,Fengyun 1C debris,30181,1999-025UN,,Payload Fragmentation Debris,,,,,,,,,
30179,Fengyun 1C debris,30182,1999-025UP,,Payload Fragmentation Debris,,,,,,,,,
30180,Fengyun 1C debris,30183,1999-025UQ,,Payload Fragmentation Debris,,,,,,,,,
30181,Fengyun 1C debris,30184,1999-025UR,,Payload Fragmentation Debris,,,,,,23/01/2012,,,
30182,Fengyun 1C debris,30185,1999-025US,,Payload Fragmentation Debris,,,,,,04/01/2014,,,
30183,Fengyun 1C debris,30186,1999-025UT,,Payload Fragmentation Debris,,,,,,12/03/2014,,,
30184,Fengyun 1C debris,30187,1999-025UU,,Payload Fragmentation Debris,,,,,,16/09/2011,,,
30185,Fengyun 1C debris,30188,1999-025UV,,Payload Fragmentation Debris,,,,,,04/09/2013,,,
30186,Fengyun 1C debris,30189,1999-025UW,,Payload Fragmentation Debris,,,,,,12/04/2015,,,
30187,Fengyun 1C debris,30190,1999-025UX,,Payload Fragmentation Debris,,,,,,,,,
30188,Fengyun 1C debris,30191,1999-025UY,,Payload Fragmentation Debris,,,,,,,,,
30189,Fengyun 1C debris,30192,1999-025UZ,,Payload Fragmentation Debris,,,,,,12/11/2016,,,
30190,Fengyun 1C debris,30193,1999-025VA,,Payload Fragmentation Debris,,,,,,,,,
30191,Fengyun 1C debris,30194,1999-025VB,,Payload Fragmentation Debris,,,,,,,,,
30192,Fengyun 1C debris,30195,1999-025VC,,Payload Fragmentation Debris,,,,,,18/06/2015,,,
30193,Fengyun 1C debris,30196,1999-025VD,,Payload Fragmentation Debris,,,,,,,,,
30194,Fengyun 1C debris,30197,1999-025VE,,Payload Fragmentation Debris,,,,,,,,,
30195,Fengyun 1C debris,30198,1999-025VF,,Payload Fragmentation Debris,,,,,,,,,
30196,Fengyun 1C debris,30199,1999-025VG,,Payload Fragmentation Debris,,,,,,,,,
30197,Fengyun 1C debris,30200,1999-025VH,,Payload Fragmentation Debris,,,,,,,,,
30198,Fengyun 1C debris,30201,1999-025VJ,,Payload Fragmentation Debris,,,,,,,,,
30199,Fengyun 1C debris,30202,1999-025VK,,Payload Fragmentation Debris,,,,,,,,,
30200,Fengyun 1C debris,30203,1999-025VL,,Payload Fragmentation Debris,,,,,,09/01/2012,,,
30201,Fengyun 1C debris,30204,1999-025VM,,Payload Fragmentation Debris,,,,,,21/02/2015,,,
30202,Fengyun 1C debris,30205,1999-025VN,,Payload Fragmentation Debris,,,,,,,,,
30203,Fengyun 1C debris,30206,1999-025VP,,Payload Fragmentation Debris,,,,,,,,,
30204,Fengyun 1C debris,30207,1999-025VQ,,Payload Fragmentation Debris,,,,,,,,,
30205,Fengyun 1C debris,30208,1999-025VR,,Payload Fragmentation Debris,,,,,,,,,
30206,Fengyun 1C debris,30209,1999-025VS,,Payload Fragmentation Debris,,,,,,,,,
30207,Fengyun 1C debris,30210,1999-025VT,,Payload Fragmentation Debris,,,,,,,,,
30208,Fengyun 1C debris,30211,1999-025VU,,Payload Fragmentation Debris,,,,,,18/10/2010,,,
30209,Fengyun 1C debris,30212,1999-025VV,,Payload Fragmentation Debris,,,,,,,,,
30210,Fengyun 1C debris,30213,1999-025VW,,Payload Fragmentation Debris,,,,,,,,,
30211,Fengyun 1C debris,30214,1999-025VX,,Payload Fragmentation Debris,,,,,,,,,
30212,Fengyun 1C debris,30215,1999-025VY,,Payload Fragmentation Debris,,,,,,24/09/2011,,,
30213,Fengyun 1C debris,30216,1999-025VZ,,Payload Fragmentation Debris,,,,,,,,,
30214,Fengyun 1C debris,30217,1999-025WA,,Payload Fragmentation Debris,,,,,,,,,
30215,Fengyun 1C debris,30218,1999-025WB,,Payload Fragmentation Debris,,,,,,,,,
30216,Fengyun 1C debris,30219,1999-025WC,,Payload Fragmentation Debris,,,,,,31/07/2012,,,
30217,Fengyun 1C debris,30220,1999-025WD,,Payload Fragmentation Debris,,,,,,04/12/2011,,,
30218,Fengyun 1C debris,30221,1999-025WE,,Payload Fragmentation Debris,,,,,,,,,
30219,Fengyun 1C debris,30222,1999-025WF,,Payload Fragmentation Debris,,,,,,,,,
30220,Fengyun 1C debris,30223,1999-025WG,,Payload Fragmentation Debris,,,,,,29/10/2009,,,
30221,Fengyun 1C debris,30224,1999-025WH,,Payload Fragmentation Debris,,,,,,,,,
30222,Fengyun 1C debris,30225,1999-025WJ,,Payload Fragmentation Debris,,,,,,,,,
30223,Fengyun 1C debris,30226,1999-025WK,,Payload Fragmentation Debris,,,,,,12/12/2015,,,
30224,Fengyun 1C debris,30227,1999-025WL,,Payload Fragmentation Debris,,,,,,,,,
30225,Fengyun 1C debris,30228,1999-025WM,,Payload Fragmentation Debris,,,,,,,,,
30226,Fengyun 1C debris,30229,1999-025WN,,Payload Fragmentation Debris,,,,,,,,,
30227,Fengyun 1C debris,30230,1999-025WP,,Payload Fragmentation Debris,,,,,,,,,
30228,Fengyun 1C debris,30231,1999-025WQ,,Payload Fragmentation Debris,,,,,,,,,
30229,Fengyun 1C debris,30232,1999-025WR,,Payload Fragmentation Debris,,,,,,,,,
30230,Fengyun 1C debris,30233,1999-025WS,,Payload Fragmentation Debris,,,,,,,,,
30231,Fengyun 1C debris,30234,1999-025WT,,Payload Fragmentation Debris,,,,,,,,,
30232,Fengyun 1C debris,30235,1999-025WU,,Payload Fragmentation Debris,,,,,,,,,
30233,Fengyun 1C debris,30236,1999-025WV,,Payload Fragmentation Debris,,,,,,28/09/2008,,,
30234,Fengyun 1C debris,30237,1999-025WW,,Payload Fragmentation Debris,,,,,,,,,
30235,Fengyun 1C debris,30238,1999-025WX,,Payload Fragmentation Debris,,,,,,,,,
30236,Fengyun 1C debris,30239,1999-025WY,,Payload Fragmentation Debris,,,,,,,,,
30237,Fengyun 1C debris,30240,1999-025WZ,,Payload Fragmentation Debris,,,,,,04/02/2010,,,
30238,Fengyun 1C debris,30241,1999-025XA,,Payload Fragmentation Debris,,,,,,,,,
30239,Fengyun 1C debris,30242,1999-025XB,,Payload Fragmentation Debris,,,,,,,,,
30240,Fengyun 1C debris,30243,1999-025XC,,Payload Fragmentation Debris,,,,,,,,,
30241,Fengyun 1C debris,30244,1999-025XD,,Payload Fragmentation Debris,,,,,,,,,
30242,Fengyun 1C debris,30245,1999-025XE,,Payload Fragmentation Debris,,,,,,,,,
30243,Fengyun 1C debris,30246,1999-025XF,,Payload Fragmentation Debris,,,,,,,,,
30244,Fengyun 1C debris,30247,1999-025XG,,Payload Fragmentation Debris,,,,,,,,,
30245,Fengyun 1C debris,30248,1999-025XH,,Payload Fragmentation Debris,,,,,,,,,
30246,Fengyun 1C debris,30249,1999-025XJ,,Payload Fragmentation Debris,,,,,,,,,
30247,Fengyun 1C debris,30250,1999-025XK,,Payload Fragmentation Debris,,,,,,,,,
30248,Fengyun 1C debris,30251,1999-025XL,,Payload Fragmentation Debris,,,,,,,,,
30249,Fengyun 1C debris,30252,1999-025XM,,Payload Fragmentation Debris,,,,,,,,,
30250,Fengyun 1C debris,30253,1999-025XN,,Payload Fragmentation Debris,,,,,,,,,
30251,Fengyun 1C debris,30254,1999-025XP,,Payload Fragmentation Debris,,,,,,31/07/2013,,,
30252,Fengyun 1C debris,30255,1999-025XQ,,Payload Fragmentation Debris,,,,,,13/04/2010,,,
30253,Fengyun 1C debris,30256,1999-025XR,,Payload Fragmentation Debris,,,,,,16/02/2021,,,
30254,Fengyun 1C debris,30257,1999-025XS,,Payload Fragmentation Debris,,,,,,,,,
30255,Fengyun 1C debris,30258,1999-025XT,,Payload Fragmentation Debris,,,,,,15/01/2011,,,
30256,Fengyun 1C debris,30259,1999-025XU,,Payload Fragmentation Debris,,,,,,,,,
30257,Fengyun 1C debris,30260,1999-025XV,,Payload Fragmentation Debris,,,,,,22/07/2011,,,
30258,Fengyun 1C debris,30261,1999-025XW,,Payload Fragmentation Debris,,,,,,,,,
30259,Fengyun 1C debris,30262,1999-025XX,,Payload Fragmentation Debris,,,,,,,,,
30260,Fengyun 1C debris,30263,1999-025XY,,Payload Fragmentation Debris,,,,,,,,,
30261,Fengyun 1C debris,30264,1999-025XZ,,Payload Fragmentation Debris,,,,,,,,,
30262,Fengyun 1C debris,30265,1999-025YA,,Payload Fragmentation Debris,,,,,,,,,
30263,Fengyun 1C debris,30266,1999-025YB,,Payload Fragmentation Debris,,,,,,,,,
30264,Fengyun 1C debris,30267,1999-025YC,,Payload Fragmentation Debris,,,,,,,,,
30265,Fengyun 1C debris,30268,1999-025YD,,Payload Fragmentation Debris,,,,,,14/01/2012,,,
30266,Fengyun 1C debris,30269,1999-025YE,,Payload Fragmentation Debris,,,,,,01/08/2012,,,
30267,Fengyun 1C debris,30270,1999-025YF,,Payload Fragmentation Debris,,,,,,,,,
