,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
3273,1974-12-21,8.2,597.0,62.89,1650.0,1.4,4.4,8.2,4947.0,73,1,36,213,26,30,5915.0
3285,1975-01-10,7.2,336.0,51.57,6511.4,2.2,7.49,7.49,2.0590277777777777,101,1,112,222,1,93,5935.0
3289,1975-01-21,1.2,197.0,81.95,247.77,1.2,1.8,1.8,303.0,59,1,44,27,0,11,5946.0
3291,1975-01-22,3.7,901.0,99.1,953.0,3.0,3.3,3.7,2901.0,2,0,26,69,10,6,5947.0
3295,1975-01-28,1.2,268.0,70.96,322.1,1.2,1.8,1.8,294.0,59,1,44,27,1,11,5953.0
3302,1975-02-05,5.1,500.0,74.03,867.2,1.0,2.0,2.0,2041.0,81,1,44,156,1,20,5961.0
3304,1975-02-06,8.2,633.0,62.83,1650.0,1.4,4.4,8.2,3801.0,73,1,36,213,26,30,5962.0
3315,1975-02-24,1.8,249.0,31.56,85.23,0.75,0.7,0.75,1952.0,72,10,89,262,4,14,5980.0
3339,1975-03-27,6.5,285.0,82.96,545.09,1.5,1.8,1.8,1986.0,66,1,44,91,0,103,6011.0
3346,1975-03-26,1.8,194.0,81.32,198.22,1.9,0.9,1.9,15.0,97,1,106,170,1,11,6010.0
3348,1975-04-08,1.2,267.0,70.99,322.1,1.2,1.8,1.8,273.0,59,1,44,27,1,11,6023.0
3355,1975-04-14,8.1,615.0,62.92,1750.0,1.6,3.6,8.1,4978.0,106,1,36,256,26,30,6029.0
3364,1975-04-19,1.5,568.0,50.68,356.79,1.47,1.1,1.47,6142.0,109,14,117,263,1,24,6034.0
3371,1975-04-18,1.8,199.0,72.83,198.22,1.9,0.9,1.9,28.0,97,1,106,170,1,11,6033.0
3376,1975-05-07,4.7,502.0,3.0,191.28,0.66,0.61,0.66,1433.0,2,0,6,191,20,12,6052.0
3383,1975-05-17,0.6,271.0,29.99,34.69,0.61,0.56,0.61,80.0,43,6,88,264,0,10,6062.0
3384,1975-05-17,0.8,273.0,29.97,76.0,0.8,0.7,0.8,1373.0,43,6,88,265,0,24,6062.0
3386,1975-05-20,3.6,151.0,28.58,559.96,2.74,1.83,2.74,6.0,87,0,4,211,1,2,6065.0
3387,1975-05-20,3.6,151.0,28.58,559.96,2.74,1.83,2.74,6.0,87,0,4,211,1,2,6065.0
3408,1975-05-21,1.8,199.0,64.96,198.22,1.9,0.9,1.9,29.0,97,1,106,170,1,11,6066.0
3412,1975-06-05,8.6,476.0,62.86,1650.0,1.4,4.4,8.6,4451.0,73,1,36,67,26,30,6081.0
3430,1975-06-20,13.1,598.0,81.26,2477.7,1.5,5.0,5.0,5958.0,57,1,44,193,0,20,6096.0
3432,1975-06-21,1.5,540.0,32.95,1054.51,1.52,0.72,1.52,4036.0,2,0,21,266,1,2,6097.0
3435,1975-06-24,1.2,260.0,70.99,322.1,1.2,1.8,1.8,262.0,59,1,44,27,1,11,6100.0
3443,1975-07-04,5.1,508.0,74.03,867.2,1.0,2.0,2.0,1911.0,81,1,44,156,1,20,6110.0
3446,1975-06-27,1.8,188.0,62.83,198.22,1.9,0.9,1.9,20.0,97,1,106,170,1,11,6103.0
3447,1975-07-08,8.2,499.0,62.85,1650.0,1.4,4.4,8.2,15772.367361111112,73,1,36,213,26,30,6114.0
3453,1975-07-15,10.6,217.0,51.76,6620.42,2.2,7.49,7.49,6.451388888888889,101,1,112,242,1,93,6121.0
3455,1975-07-15,3.9,162.0,51.76,12612.49,3.91,10.35,10.35,0.8944444444444445,93,0,101,65,1,3,6121.0
3458,1975-07-17,1.4,269.0,71.04,297.32,1.2,1.8,1.8,805.0,59,1,44,27,1,11,6123.0
3463,1975-07-24,2.0,478.0,65.85,891.97,2.0,4.0,4.0,2046.0,59,1,44,248,1,2,6130.0
3468,1975-08-09,1.7,2536.0,92.01,272.55,1.4,1.2,1.7,3815.0,110,15,118,267,5,2,6146.0
3476,1975-08-22,13.1,476.0,81.21,2477.7,1.5,5.0,5.0,6285.0,57,1,44,193,1,20,6159.0
3484,1975-09-02,8.6,613.0,62.91,1650.0,1.4,4.4,8.6,3731.0,73,1,36,67,26,30,6170.0
3520,1975-09-27,3.5,501.0,37.16,109.02,0.7,0.8,0.8,2560.0,43,6,88,197,0,12,6195.0
3531,1975-10-06,1.4,135.0,90.08,485.63,1.36,1.14,1.36,158.0,2,0,8,236,4,2,6204.0
3537,1975-10-12,30.0,484.0,90.43,93.16,0.59,7.29,7.29,5705.0,47,0,6,271,6,114,6210.0
3545,1975-10-17,1.8,194.0,62.83,198.22,1.9,0.9,1.9,15.0,97,1,106,170,1,11,6215.0
3556,1975-11-17,7.2,340.0,51.59,6511.4,2.2,7.49,7.49,2.6798611111111112,101,1,112,245,1,93,6246.0
3558,1975-11-20,1.4,142.0,19.68,485.63,1.36,1.14,1.36,2029.58125,2,0,8,236,24,2,6249.0
3562,1975-11-21,5.1,505.0,74.04,867.2,1.0,2.0,2.0,1832.0,81,1,44,156,1,20,6250.0
3566,1975-11-26,2.2,178.0,62.95,1790.0,2.2,1.6,2.2,33.0,77,11,84,272,1,26,6255.0
3574,1975-11-21,1.8,197.0,65.01,198.22,1.9,0.9,1.9,20.0,97,1,106,170,1,11,6250.0
3580,1975-12-11,6.3,333.0,73.99,545.09,1.5,1.8,1.8,2635.0,66,1,44,91,0,103,6270.0
3589,1975-12-03,1.8,204.0,81.33,198.22,1.9,0.9,1.9,18.0,97,1,106,170,1,11,6262.0
3594,1975-12-17,8.2,485.0,62.89,1650.0,1.4,4.4,8.2,4098.0,73,1,36,213,26,30,6276.0
3597,1975-12-22,10.0,231.0,65.04,896.93,1.8,1.8,1.8,0.6923611111111111,45,1,54,221,1,112,6281.0
3606,1975-12-27,8.1,506.0,62.86,1750.0,1.6,3.6,8.1,3881.0,106,1,36,256,26,30,6286.0
3611,1976-01-06,5.1,516.0,74.03,867.2,1.0,2.0,2.0,1802.0,81,1,44,156,1,20,6296.0
3617,1976-01-15,32.0,284.0,30.3,371.66,1.74,4.2,4.2,0.4270833333333333,67,9,94,257,3,124,6305.0
3631,1976-01-22,5.1,510.0,74.03,867.2,1.0,2.0,2.0,1756.0,81,1,44,156,1,20,6312.0
3648,1976-02-05,1.4,265.0,70.98,297.32,1.2,1.8,1.8,700.0,59,1,44,27,1,11,6326.0
3667,1976-03-11,8.6,486.0,62.84,1650.0,1.4,4.4,8.6,5326.0,73,1,36,67,26,30,6361.0
3678,1976-03-16,13.1,490.0,81.22,2477.7,1.5,5.0,5.0,6458.0,57,1,44,193,1,20,6366.0
3682,1976-03-19,8.6,632.0,63.01,1650.0,1.4,4.4,8.6,3344.0,73,1,36,67,26,30,6369.0
3695,1976-04-06,5.1,507.0,74.03,867.2,1.0,2.0,2.0,1668.0,81,1,44,156,1,20,6387.0
3727,1976-05-18,1.2,267.0,71.06,322.1,1.2,1.8,1.8,293.0,59,1,44,27,1,11,6429.0
3736,1976-05-28,2.0,278.0,74.05,545.09,2.0,2.0,2.0,802.0,59,1,44,248,1,4,6439.0
3748,1976-04-28,0.2,475.0,65.83,5.0,0.2,0.2,0.2,440.0,59,1,44,282,1,4,6409.0
3749,1976-04-28,0.2,476.0,65.83,5.0,0.2,0.2,0.2,454.0,59,1,44,282,1,4,6409.0
3761,1976-06-19,23.0,483.0,74.05,545.09,1.5,1.8,1.8,1247.0,66,1,44,283,1,103,6461.0
3776,1976-07-01,8.2,439.0,62.76,1238.85,1.6,4.2,4.2,2696.0,73,1,36,213,0,115,6473.0
3781,1976-07-06,7.2,262.0,51.59,6511.4,2.2,7.49,7.49,1.5694444444444444,101,1,112,222,1,93,6478.0
3799,1976-07-22,6.3,161.0,67.15,6640.24,2.4,6.99,6.99,3.720833333333333,97,1,106,258,1,1,6494.0
3802,1976-07-23,8.6,498.0,62.94,1650.0,1.4,4.4,8.6,3962.0,73,1,36,67,26,30,6495.0
3805,1976-07-27,5.1,511.0,74.05,867.2,1.0,2.0,2.0,1572.0,81,1,44,156,1,20,6499.0
3807,1976-07-27,2.8,464.0,50.57,545.09,1.5,1.8,1.8,1078.0,118,1,44,132,1,103,6499.0
3824,1976-08-18,1.4,263.0,70.97,297.32,1.2,1.8,1.8,614.0,59,1,44,27,1,11,6521.0
3826,1976-08-26,1.2,267.0,70.94,322.1,1.2,1.8,1.8,263.0,59,1,44,27,1,11,6529.0
3828,1976-08-27,13.1,565.0,81.21,2477.7,1.5,5.0,5.0,4726.0,81,1,44,193,1,20,6530.0
3833,1976-04-28,0.2,464.0,65.83,5.0,0.2,0.2,0.2,410.0,59,1,44,282,1,4,6409.0
3834,1976-04-28,0.2,474.0,65.82,5.0,0.2,0.2,0.2,507.0,59,1,44,282,1,4,6409.0
3835,1976-09-01,8.2,244.0,62.81,1238.85,1.6,4.2,4.2,121.0,73,1,36,213,1,115,6535.0
3839,1976-09-01,30.0,343.0,90.32,93.16,0.59,7.29,7.29,1732.0,47,0,6,271,6,114,6535.0
3848,1976-09-15,10.6,246.0,64.75,6511.4,2.2,7.49,7.49,8.319444444444445,101,1,112,242,1,93,6549.0
3852,1976-04-28,0.2,464.0,65.76,5.0,0.2,0.2,0.2,468.0,59,1,44,282,1,4,6409.0
3853,1976-04-28,0.2,469.0,65.84,5.0,0.2,0.2,0.2,469.0,59,1,44,282,1,4,6409.0
3854,1976-04-28,0.2,470.0,65.82,5.0,0.2,0.2,0.2,488.0,59,1,44,282,1,4,6409.0
3855,1976-04-28,0.2,474.0,65.9,5.0,0.2,0.2,0.2,483.0,59,1,44,282,1,4,6409.0
3856,1976-04-28,0.2,470.0,65.85,5.0,0.2,0.2,0.2,510.0,59,1,44,282,1,4,6409.0
3861,1976-04-28,0.2,468.0,65.81,5.0,0.2,0.2,0.2,478.0,59,1,44,282,1,4,6409.0
3867,1976-09-22,1.8,199.0,65.01,198.22,1.9,0.9,1.9,24.0,97,1,106,170,1,11,6556.0
3872,1976-04-28,0.2,466.0,65.76,5.0,0.2,0.2,0.2,492.0,59,1,44,282,1,4,6409.0
3873,1976-04-28,0.2,472.0,65.87,5.0,0.2,0.2,0.2,506.0,59,1,44,282,1,4,6409.0
3874,1976-10-14,7.2,229.0,51.59,6511.4,2.2,7.49,7.49,2.7395833333333335,101,1,112,245,1,93,6578.0
3880,1976-04-28,0.2,468.0,65.8,5.0,0.2,0.2,0.2,548.0,59,1,44,282,1,4,6409.0
3882,1976-04-28,0.2,472.0,65.86,5.0,0.2,0.2,0.2,497.0,59,1,44,282,1,4,6409.0
3883,1976-04-28,0.2,471.0,65.8,5.0,0.2,0.2,0.2,517.0,59,1,44,282,1,4,6409.0
3884,1976-04-28,0.2,471.0,65.84,5.0,0.2,0.2,0.2,514.0,59,1,44,282,1,4,6409.0
3885,1976-04-28,0.2,470.0,65.81,5.0,0.2,0.2,0.2,505.0,59,1,44,282,1,4,6409.0
3897,1976-04-28,0.2,461.0,65.86,5.0,0.2,0.2,0.2,460.0,59,1,44,282,1,4,6409.0
3898,1976-04-28,0.2,467.0,65.81,5.0,0.2,0.2,0.2,507.0,59,1,44,282,1,4,6409.0
3901,1976-04-28,0.2,473.0,65.81,5.0,0.2,0.2,0.2,532.0,59,1,44,282,1,4,6409.0
3902,1976-04-28,0.2,463.0,65.85,5.0,0.2,0.2,0.2,493.0,59,1,44,282,1,4,6409.0
3903,1976-04-28,0.2,465.0,65.82,5.0,0.2,0.2,0.2,507.0,59,1,44,282,1,4,6409.0
3904,1976-04-28,0.2,471.0,65.84,5.0,0.2,0.2,0.2,537.0,59,1,44,282,1,4,6409.0
3916,1976-11-25,10.0,3869.0,66.58,921.7,1.8,1.8,1.8,0.9798611111111111,45,1,54,221,14,112,6620.0
3920,1976-11-29,10.6,264.0,51.79,6511.4,2.2,7.49,7.49,18.440277777777776,101,1,112,251,1,113,6624.0
3922,1976-12-02,5.1,511.0,74.0,867.2,1.0,2.0,2.0,1479.0,81,1,44,156,1,20,6627.0
3923,1976-12-02,8.2,599.0,62.93,1650.0,1.4,4.4,8.2,5160.0,73,1,36,213,26,30,6627.0
3929,1976-12-07,2.2,173.0,59.45,1790.0,2.2,1.6,2.2,26.0,77,11,84,272,1,26,6632.0
3943,1976-12-09,23.0,558.0,65.84,743.31,2.0,4.0,4.0,1033.0,54,1,44,276,1,2,6634.0
3949,1976-12-17,23.0,464.0,65.84,891.97,2.0,4.0,4.0,1031.0,59,1,44,276,1,2,6642.0
3952,1976-12-17,0.2,467.0,65.82,5.0,0.2,0.2,0.2,316.0,59,1,44,282,1,4,6642.0
3953,1976-12-19,30.0,339.0,96.95,13379.58,2.0,19.48,19.48,770.0,11,0,4,288,12,20,6644.0
3956,1976-12-27,4.2,595.0,65.83,3290.39,2.0,4.0,4.0,0.6472222222222223,54,1,110,138,0,2,6652.0
3957,1976-12-28,8.1,628.0,62.9,1750.0,1.6,3.6,8.1,4788.0,106,1,36,256,26,30,6653.0
3977,1977-02-02,2.0,468.0,65.84,891.97,2.0,4.0,4.0,1463.0,59,1,44,248,1,2,6689.0
3980,1977-02-07,10.6,246.0,51.6,6511.4,2.2,7.49,7.49,1.8597222222222223,101,1,112,245,1,93,6694.0
3985,1977-02-11,8.2,490.0,62.85,1650.0,1.4,4.4,8.2,15669.0,73,1,125,213,26,30,6698.0
3988,1977-02-15,2.5,331.0,74.0,2725.47,2.4,9.19,9.19,2790.0,36,1,44,91,0,7,6702.0
3996,1977-02-26,13.1,609.0,81.19,2477.7,1.5,5.0,5.0,5503.0,81,1,44,193,0,20,6713.0
4014,1977-03-24,5.1,501.0,74.05,867.2,1.0,2.0,2.0,1305.0,81,1,44,156,1,20,6739.0
