,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
17,Aerocube 10B,Payload,2.1,Box,0.11,0.17,0.17,,0.0391738433141299,0.0187,0.03315,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,471,483,0.0008762961881115817,51.6,94.15,2.0,2019-08-09,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
18,TOMSAT Eagle Scout,Payload,5.03,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,495,511,0.0011639749745380474,85.03,94.6,4.0,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
19,TOMSAT R3,Payload,4.66,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,492,511,0.0013825220112057047,85.3,94.6,4.0,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
20,Aerocube 12A,Payload,5.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,481,487,0.00043770061278085786,51.6,94.2,4.0,2018-07-16,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
21,Aerocube 12B,Payload,5.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,481,487,0.00043770061278085786,51.6,94.2,4.0,2018-07-16,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
22,Aerocube 14A,Payload,4.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,459,474,0.0010970525853872596,51.6,93.9,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
23,Aerocube 14B,Payload,4.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,459,474,0.0010970525853872596,51.6,93.9,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
24,Aerocube 15B,Payload,4.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,458,474,0.0011702750146284375,51.6,93.9,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
25,Aerocube 5C,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500,802,0.021506907847884917,64.78,97.74,1.5,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
26,Aerocube 6A,Payload,0.5,Box + 2 Pan,0.1,0.05,0.1,,0.0122474487139159,0.005,0.01,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614,700,0.006119254304824249,97.98,97.88,5.0,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
27,Aerocube 6B,Payload,0.5,Box + 2 Pan,0.1,0.05,0.1,,0.0122474487139159,0.005,0.01,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614,700,0.006119254304824249,97.98,97.88,5.0,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
28,Aerocube 7A,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500,802,0.021506907847884917,64.6,97.4,2.0,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
29,Aerocube 7B,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,432,437,0.000367403923873907,53.6,93.2,2.0,2017-11-12,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230
30,Aerocube 7C,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,432,437,0.000367403923873907,53.6,93.2,2.0,2017-11-12,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230
31,Aerocube 8A,Payload,2.0,Box,0.1,0.15,0.15,,0.0309232921921325,0.015,0.02625,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.19,5.0,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
32,Aerocube 8B,Payload,2.0,Box,0.1,0.15,0.15,,0.0309232921921325,0.015,0.02625,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.19,5.0,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
33,Aerocube 8C,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,569,584,0.0010796804145972792,97.9,96.2,5.0,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
34,Aerocube 8D,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,572,584,0.0008635578583765112,98.0,96.23,2.0,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
35,"Eutelsat 48D / Afghansat 1 (Eutelsat 28B, Eutelsat W2M)",Payload,3460.0,Box + 2 Pan,1.8,5.0,15.7,,33.1503375217917,3.24,17.3479333333333,France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.0,35764,35808,0.0005218711452699497,0.12,1436.08,3460.0,2008-12-20,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5
36,AIM,Payload,192.0,Cyl + 2 Pan,1.1,1.4,2.0,,2.6018682956585,0.9503317777109128,1.9575457271541896,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544,552,0.0005782017924255568,97.9,96.2,215.0,2007-04-25,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL
37,AISat-1,Payload,10.0,Box + 1 Truss,0.2,0.1,4.0,,0.0489897948556636,0.02,0.04,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,643,660,0.0012105675425478884,98.25,97.76,14.0,2014-06-30,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA
38,AISSAT-1,Payload,6.0,Box + 2 Ant,0.2,0.2,1.0,,0.15096434372940398,0.04,0.0933333333333334,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,615,632,0.0012154143132909133,98.0,97.2,6.0,2010-07-12,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV
39,AISSAT-2,Payload,7.0,Box + 2 Ant,0.2,0.2,1.0,,0.15096434372940398,0.04,0.0933333333333334,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,625,631,0.00042869391254644185,98.4,97.27,6.0,2014-07-08,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
40,Aist 1,Payload,50.0,Box,0.2,0.4,0.4,,0.19595917942265398,0.08,0.16,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Polar,0.0,599,626,0.001933404940923738,82.4,96.9,,2013-12-28,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v"
41,AIST 2,Payload,39.0,Box,0.2,0.4,0.4,,0.19595917942265398,0.08,0.16,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Non-Polar Inclined,0.0,558,582,0.001729106628242075,64.88,96.06,53.0,2013-04-19,3.0,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a
42,AIST 2D,Payload,531.0,Box + 2 Pan,1.1,2.0,4.0,,5.8905034516324015,1.21,3.6712,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Sun-Synchronous,0.0,471,486,0.0010951303205081406,97.28,94.18,531.0,2016-04-27,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a
43,AISTECHSAT 2,Payload,10.0,Box + 3 Pan,0.1,0.3,0.5,,0.0920220360048721,0.01,0.0538,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,574,592,0.0012944052926794187,97.8,96.4,2.6,2018-12-03,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9
44,Danu Pathfinder (AISTECHSAT 3),Payload,2.3,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,490,506,0.0011648223645894002,97.5,94.6,2.3,2019-04-01,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV
45,Al Yah 3,Payload,3795.0,Box + 2 Pan,2.0,5.0,18.0,,40.297458451417896,4.0,20.597333333333303,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20.0,35777,35796,0.00022535077627412143,0.0,1436.0,3795.0,2018-01-25,15.0,Orbital ATK,USA,Guiana Space Center,Ariane 5
46,Alcomsat 1,Payload,5200.0,Box + 2 Pan,2.5,5.0,30.0,,73.75070204097399,6.25,34.063333333333304,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.8,35744,35798,0.0006407062006122304,0.04,1436.1,5225.0,2017-12-10,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
47,ALE-2,Payload,75.0,Box,0.6,0.8,0.8,,0.768374908491942,0.36,0.66,NR (12/20),Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,0.0,397,414,0.0012545199616264483,97.01,92.06,75.0,2019-12-06,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron
48,Al-Farabi 2,Payload,4.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,573,589,0.0011509135376204865,97.7,96.2,4.0,2018-12-03,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9
49,ALICE,Payload,4.0,Box + 4 Pan,0.1,0.3,0.6,,0.124275047710675,0.01,0.0660666666666667,NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0.0,443,886,0.03148766792238253,120.3,98.0,5.0,2013-12-06,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5
50,ALSAT 2B,Payload,117.0,Box + 1 Pan,0.6,1.0,1.8,,1.30585080635796,0.36,0.912266666666667,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,646,660,0.00099672504627652,98.2,97.7,117.0,2016-09-26,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
51,ALSAT 1B,Payload,103.0,Box + 1 Ant,0.6,0.6,6.6,,1.32327824242114,0.36,0.862,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,661,704,0.0030485643388869195,98.2,98.4,103.0,2016-09-26,5.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
