,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
717,Gaofen 1,Payload,900.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,630,654,0.0017113519680547636,98.07,97.56,1000.0,2013-04-26,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
718,Gaofen 10,Payload,3000.0,Box + 3 Pan,2.0,2.0,8.0,,21.3286,4.0,10.845999999999998,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,611,621,0.0007157171485828801,97.8,97.03,1000.0,2019-10-04,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C
719,Gaofen 11,Payload,3000.0,Box + 2 Pan,2.0,2.0,8.0,,16.5284440605881,4.0,9.23066666666667,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,0.0,241,689,0.032772494513533285,97.4,93.9,1000.0,2018-07-31,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B
720,Gaofen 11-02,Payload,3000.0,Box + 2 Pan,2.0,2.0,8.0,,16.5284,4.0,9.2307,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,Elliptical,,0.0,244,691,0.0326873857404022,97.3,93.9,1000.0,2020-09-07,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B
721,Gaofen 12,Payload,3000.0,Box + 3 Pan,2.0,2.0,8.0,,21.3286,4.0,10.845999999999998,NR,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,612,616,0.000286368843069874,97.9,96.9,1000.0,2019-11-28,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C
722,Gaofen 13,Payload,4600.0,Box + 2 Pan,2.5,5.0,30.0,,73.7507,6.25,34.0633,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,118.0,35775,35799,0.00028465023602248737,1.98,1436.13,1000.0,2020-10-11,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B
723,Gaofen 14,Payload,6500.0,Box + 2 Pan,2.5,6.0,15.0,,47.1151,6.25,26.5133,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Stereo Imaging,LEO,Sun-Synchronous,0.0,485,495,0.0007288629737609329,97.4,94.4,1000.0,2020-12-06,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B
724,Gaofen 2,Payload,900.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,620,636,0.0011431837667905116,98.02,97.06,1000.0,2014-08-19,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B
725,Gaofen 3,Payload,3000.0,Box + 3 Pan,2.0,2.0,8.0,,21.3285644757443,4.0,10.845999999999998,China,China,State Oceanic Administration (SOA),Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,757,759,0.00014029180695847364,98.4,99.8,1000.0,2016-08-09,8.0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C
726,Gaofen 4,Payload,4600.0,Box + 2 Pan,2.5,5.0,30.0,,73.75070204097399,6.25,34.063333333333304,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,GEO,,105.7,35792,35796,4.743382980741865e-05,0.6,1436.1,4600.0,2015-12-28,8.0,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B
727,Gaofen 7,Payload,2400.0,Box + 2 Pan,2.0,2.0,8.0,,16.5284,4.0,9.2307,NR,China,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Government,Earth Observation,Optical Imaging ,LEO,Sun-Synchronous,0.0,487,505,0.0013108068744538304,97.5,94.5,9.0,2019-11-03,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B
728,Gaofen 8,Payload,3000.0,Box + 2 Pan,2.0,2.0,8.0,,16.5284440605881,4.0,9.23066666666667,China,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,484,492,0.0005832604257801109,97.3,94.36,1000.0,2015-06-26,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4B
729,Gaofen 9-01,Payload,1080.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,618,664,0.0032805591213806874,98.01,97.54,1000.0,2015-09-14,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
730,Gaofen 9-02,Payload,1700.0,Box + 2 Pan,1.5,1.9,4.0,,7.6162,2.25,4.9913,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,487,502,0.0010925777551169056,97.2,94.5,1000.0,2020-05-31,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
731,Gaofen 9-02,Payload,1700.0,Box + 2 Pan,1.5,1.9,4.0,,7.6162,2.25,4.9913,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,487,502,0.0010925777551169056,97.2,94.5,1000.0,2020-05-31,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
732,Gaofen 9-03,Payload,1700.0,Box + 2 Pan,1.5,1.9,4.0,,7.6162,2.25,4.9913,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,504,0.0013839318231480807,97.3,94.5,1000.0,2020-06-17,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
733,Gaofen 9-04,Payload,1700.0,Box + 2 Pan,1.5,1.9,4.0,,7.6162,2.25,4.9913,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,485,505,0.0014566642388929353,97.5,94.5,1000.0,2020-08-06,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
734,Gaofen 9-05,Payload,1700.0,Box + 2 Pan,1.5,1.9,4.0,,7.6162,2.25,4.9913,NR (12/20),China,China National Academy of Sciences (CNSAS),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,483,505,0.0016025641025641025,97.5,94.5,1000.0,2020-08-23,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D
735,Gaofen Duomo,Payload,2400.0,Box + 2 Pan,2.0,2.0,8.0,,16.5284,4.0,9.2307,NR (12/20),China,"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Multi-Spectral Imaging,LEO,Sun-Synchronous,0.0,631,649,0.0012838801711840227,98.0,97.5,,2020-07-03,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B
736,Gaofen 1-02,Payload,805.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.0002853067047075606,98.0,97.5,805.0,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C
737,Gaofen 1-03,Payload,805.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,640,0.000142673705236125,98.0,97.5,805.0,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C
738,Gaofen 1-04,Payload,805.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,638,642,0.0002853067047075606,98.0,97.5,805.0,2018-03-30,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C
739,Gaofen 5,Payload,2700.0,Box + 3 Pan,2.0,2.0,8.0,,21.3285644757443,4.0,10.845999999999998,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,677,695,0.0012755102040816323,98.0,98.4,805.0,2018-05-08,8.0,China Spacesat,China,Taiyuan Launch Center,Long March 4C
740,Gaofen 6,Payload,1064.0,Box + 2 Pan,1.5,1.9,4.0,,7.61620492601807,2.25,4.99133333333333,China,China,"China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,634,647,0.000927180657585051,98.0,97.3,1064.0,2018-06-03,8.0,China Spacesat,China,Jiuquan Satellite Launch Center,Long March 2D
741,Cosmos-2473,Payload,2500.0,Cyl + 2 Pan,2.0,6.0,27.0,,52.405212787109896,3.14159265358979,24.422907620897607,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,79.9,35782,35790,9.488566277635452e-05,0.09,1436.1,5000.0,2011-09-20,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
742,Cosmos-2513,Payload,2500.0,Cyl + 2 Pan,2.0,6.0,27.0,,52.405212787109896,3.14159265358979,24.422907620897607,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,76.06,35783,35805,0.00026088606394080246,0.0,1436.1,5000.0,2015-12-10,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M
743,GOMX-1,Payload,3.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,Denmark,GomSpace ApS,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,593,819,0.015969474279253815,97.7,98.9,5.0,2013-11-21,,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr
744,Shikisai,Payload,2093.0,Box + 2 Pan + 1 Dish,2.5,4.6,16.5,,45.423423652895295,6.25,24.018333333333306,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,,LEO,Sun-Synchronous,0.0,790,793,0.00020945332681700758,98.7,100.69,2200.0,2017-12-22,5.0,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A
745,GEARRS-2,Payload,4.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.0,10.0,2015-05-20,,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5
746,GECAM A,Payload,150.0,Box + Half Sphere + 1 Pan,0.3,1.0,1.5,,0.5538,0.09,0.3875,NR (12/20),China,Chinese Academy of Sciences,Government,Space Science,,LEO,Non-Polar Inclined,0.0,588,605,0.0012201248833704154,29.0,96.6,150.0,2020-12-09,,Shanghai Institute of Microsatellite Innovation,China,Xichang Satellite Launch Center,Long March 11
747,GECAM B,Payload,150.0,Box + Half Sphere + 1 Pan,0.3,1.0,1.5,,0.5538,0.09,0.3875,NR (12/20),China,Chinese Academy of Sciences,Government,Space Science,,LEO,Non-Polar Inclined,0.0,587,604,0.001220300050247649,29.0,96.6,150.0,2020-12-09,,Shanghai Institute of Microsatellite Innovation,China,Xichang Satellite Launch Center,Long March 11
748,Genesis-1,Payload,1360.0,Cyl + 2 Pan,1.9,4.5,4.5,,9.00784960296933,2.83528736986479,8.13279798198058,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,522,569,0.0033981635456583037,64.5,95.6,1360.0,2006-07-12,5.0,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr
749,Genesis-2,Payload,1360.0,Cyl,2.5,4.5,4.5,,12.274290768506598,4.90873852123405,11.2900985988383,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,508,586,0.005638282492410004,64.5,95.6,1360.0,2007-06-28,5.0,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr
750,Cosmos-2517 (Geo-IK-2-2),Payload,900.0,Cyl + 2 Pan,1.3,3.0,3.0,,4.1196827633474395,1.32732289614169,3.72671428532089,Russia,Russia,Ministry of Defense,Military,Earth Science,,LEO,Sun-Synchronous,0.0,935,963,0.0019128296215329965,99.27,104.03,900.0,2016-06-05,5.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot
751,Cosmos-2517 (Geo-IK-2-2),Payload,900.0,Cyl + 2 Pan,1.3,3.0,3.0,,4.1196827633474395,1.32732289614169,3.72671428532089,Russia,Russia,Ministry of Defense,Military,Earth Science,,LEO,Sun-Synchronous,0.0,935,963,0.0019128296215329965,99.27,104.03,900.0,2016-06-05,5.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot
752,Cosmos-2540,Payload,900.0,Cyl + 2 Pan,1.3,3.0,3.0,,4.1196827633474395,1.32732289614169,3.72671428532089,Russia,Russia,Ministry of Defense,Military,Earth Science,,LEO,Sun-Synchronous,0.0,945,958,0.0008877962166222768,99.3,103.9,900.0,2019-08-30,5.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot
753,GeoEye-1,Payload,1923.0,Hex Cyl + 1 Pan,2.7,4.4,5.0,,14.0850392948116,4.73499389519142,11.7186969475957,USA,USA,DigitalGlobe Corporation,Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,671,686,0.0010640561821664183,98.1,98.3,1955.0,2008-09-06,7.0,General Dynamics,USA,Vandenberg AFB,Delta 2
754,GEO-KOMPSat-2A,Payload,3507.0,Box + 2 Pan,2.0,5.0,10.0,,27.49722845341401,4.0,16.304000000000002,NR,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,,128.2,35783,35787,4.744395682599929e-05,0.05,1436.04,3507.0,2018-12-04,10.0,Korea Aerospace Research Institute (KARI),South Korea,Guiana Space Center,Ariane 5
755,GEO-KOMPSat 2B,Payload,3379.0,Box + 1 Pan,2.4,3.8,8.9,,23.9175,5.76,15.2874,South Korea,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,,128.0,35782,35792,0.00011860426500936973,0.04,1436.13,3379.0,2020-02-18,10.0,Korea Aerospace Research Institute (KARI),South Korea,Guiana Space Center,Ariane 5
756,Geotail,Payload,1000.0,Cyl + 1 Ant,2.2,1.6,100.0,,28.960225270100693,3.52,15.168598423914199,Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,49551,191451,0.5592294535394219,9.39,2474.83,980.0,1992-07-24,,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2
757,GHGSat C1,Payload,15.0,Box,0.2,0.4,0.4,,0.12,0.04,0.1,NR (12/20),Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,Sun-Synchronous,0.0,515,518,0.00021781746896101068,97.5,94.5,15.0,2020-09-02,,GHGSat,Canada,Guiana Space Center,Vega
758,GHGSat D,Payload,25.0,Box,0.2,0.4,0.4,,0.19595917942265398,0.08,0.16,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,Sun-Synchronous,0.0,500,512,0.0008726003490401396,97.5,94.7,15.0,2016-06-22,,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan Space Centre,PSLV XL
759,GHGSat D,Payload,25.0,Box,0.2,0.4,0.4,,0.19595917942265398,0.08,0.16,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,,LEO,Sun-Synchronous,0.0,500,512,0.0008726003490401396,97.5,94.7,15.0,2016-06-22,,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan Space Centre,PSLV XL
760,Shizuku,Payload,1991.0,Box + 2 Pan + 1 Dish,3.4,5.1,17.5,,65.4629008633602,11.56,35.969133333333296,Japan,USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,701,704,0.00021208907741251324,98.2,98.8,1900.0,2012-05-17,5.0,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A
761,Globalstar M037,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1411,1417,0.00038540596094552927,52.0,114.1,450.0,1999-03-15,10.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U
762,Globalstar M065,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1411,1416,0.0003211922656902422,52.0,114.1,450.0,2007-05-29,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
763,Globalstar M066,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,450.0,2007-10-20,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
764,Globalstar M067,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,450.0,2007-10-20,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
765,Globalstar M069,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1411,1416,0.0003211922656902422,52.0,114.1,450.0,2007-05-29,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
766,Globalstar M070,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,450.0,2007-10-20,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
767,Globalstar M071,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,450.0,2007-05-29,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
768,Globalstar M072,Payload,450.0,Box + 2 Pan,0.6,1.5,12.0,,9.366,1.0532,5.5868625,USA,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1416,0.0002569373072970196,52.0,114.1,450.0,2007-05-29,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat
769,Globalstar-2 M073,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
770,Globalstar-2 M074,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1415,0.00012846865364850977,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
771,Globalstar-2 M075,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1415,0.00012846865364850977,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
772,Globalstar-2 M076,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
773,Globalstar-2 M077,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
774,Globalstar-2 M096,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,51.99,114.08,700.0,2013-02-06,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
775,Globalstar-2 M079,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2010-10-19,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat
776,Globalstar-2 M080,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
777,Globalstar-2 M081,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
778,Globalstar-2 M082,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
779,Globalstar-2 M083,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
780,Globalstar-2 M084,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
781,Globalstar-2 M085,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1415,0.00012846865364850977,52.0,114.1,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
782,Globalstar-2 M086,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
783,Globalstar-2 M088,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1412,1415,0.0001927153594141453,52.0,114.1,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
784,Globalstar-2 M089,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1415,0.00012846865364850977,51.99,118.2,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
785,Globalstar-2 M090,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
786,Globalstar-2 M091,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1415,0.00012846865364850977,52.0,114.1,700.0,2011-07-13,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a
787,Globalstar-2 M092,Payload,715.0,Trap Cyl + 2 Pan,2.0,4.0,12.0,,32.6734,9.3488,20.9307264705882,France,USA,Globalstar,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,1413,1414,6.423845313804844e-05,52.0,114.1,700.0,2011-12-28,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
