,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
658,Eutelsat Konnect,Eutelsat Konnect,NR (12/20),Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,14.0,35700,35700,0.0,0.0,1436.0,3618.0,,,2020-01-16,15.0,Thales Alenia Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2020-005B,45027,"All electric - Eutelsat Konnect is the first spacecraft built on the new Spacebus Neo satellite bus, which was developed by Thales with funding from the European Space Agency and the French government, including the French space agency, CNES."
659,exactView 1,exactView 1,Canada,Canada,exactEarth,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,806,821,0.0010440593025683859,99.0,101.2,100.0,,,2012-07-22,,Surrey Satellite Technology Ltd.,UK,Baikonur Cosmodrome,Soyuz-Fregat,2012-039C,38709,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels throughout the world’s oceans."
660,exactView 6 (AprizeSat 6),exactView 6,Canada,Canada,exactEarth,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,627,694,0.004764952706066425,98.2,98.0,12.0,12,,2011-08-17,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044F,37793,Continuation of constellation.
661,exactView 9,exactView 9,NR,Canada,exactEarth,Commercial,Communications,Automatic Identification System (AIS),LEO,Equatorial,0.0,630,649,0.001355303516655967,6.0,97.5,6.0,6,,2015-09-28,,Space Flight Laboratory (SFL),Canada,Satish Dhawan Space Centre,PSLV C-30,2015-052G,40936,Continuation of constellation.
662,eXCITE (eXperiment for Cellular Integration Technology),eXCITE,NR,USA,Defense Advanced Research Projects Agency (DARPA),Military,Technology Development,,LEO,Sun-Synchronous,0.0,569,588,0.0013672015542922932,97.7,96.3,155.0,,,2018-12-03,,NovaWurks,USA,Vandenberg AFB,Falcon 9,2018-099BP,43819,Demonstration of satlets technology.
663,Exoconnect (D-Star One),Exoconnect,Germany,Germany,German Orbital Systems ,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,514,547,0.0023911310774581552,97.5,95.2,1.0,,,2019-07-05,,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AA,44410,
664,Express 103,Express 103,NR (12/20),Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,96.5,35781,35785,4.744620786183664e-05,0.1,1436.1,2150.0,,,2020-07-30,15.0,ISS Reshetnev/Thales Alenia Space,Russia,Baikonur Cosmodrome,Proton M,2020-053B,45986,
665,Express 80,Express 80,NR (12/20),Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,80.0,35781,35785,4.744620786183664e-05,0.1,1436.1,2150.0,,,2020-07-30,15.0,ISS Reshetnev/Thales Alenia Space,Russia,Baikonur Cosmodrome,Proton M,2020-053A,45985,
666,Express AMU1 (Eutelsat 36C),Express AMU1,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,36.0,35792,35795,3.557579422960618e-05,0.1,1436.1,2700.0,,,2015-12-24,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2015-082A,41191,Pathfinfrrs for Russian Satelite Communications Gntersputnik's 2036 Baiellico GEO conscollation.
667,Express-AM3,Express-AM3,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,103.0,35777,35795,0.0002134927412467976,0.09,1436.1,2600.0,,4200,2005-06-24,12.0,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2005-023A,28707,"16 C-band, 12 Ku-band; 1 L-band; video and radio transmissions to all of Russia."
668,Express-AM33,Express-AM33,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,96.53,35782,35791,0.00010674510455089963,0.05,1436.1,2600.0,,,2008-01-28,12.0,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2008-003A,32478,"10 C-band, 16 Ku-band; 1 L-band; Russian Federation and Asian Pacific region."
669,Express-AM44,Express-AM44,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,-11.0,35987,35995,9.442647718420245e-05,0.11,1446.57,2532.0,,,2009-02-11,12.0,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2009-007A,33595,"16 Ku-band; 10 C-band, 1 L-band transponder."
670,Express-AM5,Express-AM5,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,140.0,35420,35940,0.006183115338882283,0.08,1430.6,3400.0,,,2013-12-26,15.0,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2013-077A,39487,"Commercial comsat to cover western Russia. Services include provide mobile presidential and governmental communications, digital television and radio broadcasting services, multimedia services (telephony, videoconferencing, data transmission, access to the Internet) and VSAT networks."
671,Express-AM6 (Eutelsat 53A),Express-AM6,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,53.0,34094,37636,0.04193204688054931,0.53,1440.09,3358.0,1100,14000,2014-10-21,15.0,ISS Reshetnev ,Russia,Baikonur Cosmodrome,Proton M,2014-064A,40277,New and improved version of Express-AM5
672,Express-AM7,Express-AM7,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,40.0,35777,35796,0.00022535077627412143,0.01,1436.1,5720.0,,18000,2015-03-18,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2015-012A,40505,
673,Express-AM8,Express-AM8,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,-14.0,35784,35788,4.744283138817725e-05,0.03,1436.09,2100.0,,,2015-09-14,15.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton DM,2015-048A,40895,
674,Express-AT1,Express-AT1,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,56.0,35781,35804,0.00027275422472576344,0.06,1436.4,1726.0,,,2014-03-15,15.0,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2014-010A,39612,"Russian domestic comsat providing fixed and mobile satellite communications, data services, broadband, software distribution and TV to Russia and neighboring countries."
675,Express-AT2,Express-AT2,Russia,Russia,Russian Satellite Communications Company,Commercial,Communications,,GEO,,140.0,35609,35715,0.0012609440426341835,0.1,1429.75,1427.0,,,2014-03-15,15.0,OAO-ISS,Russia,Baikonur Cosmodrome,Proton M,2014-010B,39613,"Russian domestic comsat providing fixed and mobile satellite communications, data services, broadband, software distribution and TV to Russia and neighboring countries."
676,"ExSeedSat-1 (Vusat Oscar 96, VO96)",ExSeedSat-1,NR,India,Exseed Space,Commercial,Communications,Amateur Radio,LEO,Sun-Synchronous,0.0,572,588,0.0011510791366906475,97.7,96.3,4.0,,,2018-12-03,2.0,Amateur Radio enthusiasts,India,Vandenberg AFB,Falcon 9,2018-099T,43775,Provide a  multifunction UHF/VHF amateur radio satellite.
677,Eyesat,Eyesat,France,ESA,CNES (Centre national d'études spatiales),Government,Space Science,,LEO,Sun-Synchronous,0.0,507,524,0.001234478251397865,97.4,94.9,5.0,,,2019-12-18,,CNES,France,Guiana Space Center,Soyuz,2019-092E,44877,"Astronomy mission to study the zodiacal light and imaging of the Milky Way developed by students. A scientific objective is to observe the zodiacal light in the visible range, polarized and unpolarized light and make a deep and comprehensive picture of the Milky Way in color. The second objective is to embed new technologies in order to make the technology demonstration."
678,FACSAT-1 ,FACSAT-1,Colombia,Colombia,Colombian Air Force,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,476,500,0.0017497812773403325,97.5,95.0,5.0,,,2018-11-29,,GomSpace,Denmark,Satish Dhawan Space Centre,PSLV,2018-096C,43721,Colombian Air Force's first earth observation satellite.
679,FalconEye-2,FalconEye-2,NR (12/20),United Arab Emirates,Defense Ministry,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,597,599,0.00014351320321469576,97.9,96.7,1180.0,,,2020-12-02,5.0,Airbus Defense and Space/Thales Alenia Space,France/UK/Germany/Spain,Guiana Space Center,Soyuz ST-A,2020-090A,47226,Extremely high resolution imagery for UAE.
680,Falconsat-3,Falconsat-3,USA,USA,US Air Force Academy,Military/Civil,Technology Development,,LEO,Non-Polar Inclined,0.0,538,540,0.00014473874656245476,35.4,95.4,46.0,,,2007-03-09,,US Air Force Academy,USA,Cape Canaveral,Atlas 5,2007-006E,30776,Air Force Academy’s first attempt at achieving three axis attitude determination and control (ADCS). FalconSAT-3 will carry three payloads to conduct DoD research. When primary mission completed amateur radio payload will be activated.
681,Falconsat-6,Falconsat-6,NR,USA,US Air Force Academy,Military/Civil,Technology Development,,LEO,Sun-Synchronous,0.0,572,591,0.001366611522692944,97.7,96.3,181.0,,,2018-12-03,,US Air Force Academy,USA,Vandenberg AFB,Falcon 9,2018-099BK,43815,Carries 5 payloads for technology development testing.
682,Falconsat-7,Falconsat-7,USA,USA,US Air Force Academy,Military/Civil,Technology Development,,Elliptical,,0.0,305,850,0.03922274199352285,28.5,96.2,5.0,,,2019-06-25,,US Air Force Academy,USA,Cape Canaveral,Falcon Heavy,2019-036J,44347,"3U CubeSat solar observatory in LEO (Low Earth Orbit), first spaceborne membrane telescope."
683,Falconsat-8 (USA 300),USA 300,USA,USA,US Air Force Academy,Military/Civil,Technology Development,,LEO,Non-Polar Inclined,0.0,389,389,0.0,45.0,92.3,136.0,,,2020-05-17,,US Air Force Academy,USA,Cape Canaveral,Atlas 5,2020-029B,45610,Suite of five scientific experiments and tech demo payloads.
684,"FAST 1 (Sara Lilly and Emma, USA 222)",USA 222,USA,USA,University of Texas - Austin,Military/Civil,Technology Development,,LEO,Polar,0.0,627,654,0.001925682904215106,71.97,97.54,55.0,,,2010-11-20,,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,2010-062F,37227,Consists of two satellites that will be launched together -- Sara Lily and Emma.
685,Fengmaniu-1 (FMN-1),Fengmaniu-1,China,China,Link Space Aerospace Technology,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,440,508,0.004967855055523086,97.2,94.0,3.0,,15,2018-02-02,,Link Space Aerospace Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2018-015A,43192,Development of miniaturized cameras. Will also serve as a repeater for amateur radio.
686,Fengniao 1A (Hummingbird 1A),Fengniao 1A,NR,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0.0,488,500,0.0008741258741258741,97.35,94.49,160.0,,,2012-11-20,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064B,38998,
687,Fengyun 2F (FY-2F),Fengyun 2F,China,China,China Meteorological Administration,Government,Earth Observation,Earth Science,GEO,,112.0,35760,35816,0.000664168129417904,2.19,1436.19,1390.0,620,,2012-01-12,3.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3A,2012-002A,38049,Meteorological; weather forecasting and disaster reduction.
688,Fengyun 2G (FY 2G),Fengyun 2G,NR,China,China Meteorological Administration,Government,Earth Observation,Earth Science,GEO,,99.5,35770,35800,0.0003558296761949947,2.27,1436.02,1390.0,620,,2014-12-31,,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3A,2014-090A,40367,"Meteorological; imaging and climate monitoring satellite, replacement for FY 2D."
689,Fengyun 2H (FY 2H),Fengyun 4H,China,China,China Meteorological Administration,Government,Earth Observation,Meteorology,GEO,,79.0,35770,35804,0.0004032545010318571,2.08,1436.1,1380.0,,,2018-06-05,5.0,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3A,2018-050A,43491,
690,Fengyun 3B (FY-3B),Fengyun 3B,China,China,China Meteorological Administration,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,827,828,6.946856547412296e-05,98.8,101.5,2300.0,,,2010-11-04,,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2010-059A,37214,Meteorological.
691,Fengyun 3C (FY-3C),Fengyun 3C,China,China,China Meteorological Administration,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,827,828,6.946856547412296e-05,98.81,101.45,2300.0,,,2013-09-23,,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2013-052A,39260,Meteorological.
692,Fengyun 3D (FY-3D),Fengyun 3D,China,China,China Meteorological Administration,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,803,812,0.0006269592476489029,98.6,101.1,2300.0,,,2017-11-14,8.0,Shanghai Academy of Spaceflight Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2017-072A,43010,"First remote sensing satellite to transmit and receive data through Antarctic ground stations, allowing weather observations to more quickly reach forecasters. Ninety percent of Fengyun 3D’s observations will be transmitted back to China within 80 minutes, according to CMA."
693,Fengyun 4A (FY 4A),Fengyun 4A,China,China,China Meteorological Administration,Government,Earth Observation,Meteorology,GEO,,105.0,35768,35800,0.00037956065853774254,0.02,1436.0,5300.0,,,2016-12-10,,Shanghai Academy of Spaceflight Technology (SAST),China,Xichang Satellite Launch Center,Long March 3B,2016-077A,41882,New generation of meteorological satellite.
694,Fermi Gamma-Ray Space Telescope (formerly GLAST),Fermi Gamma-Ray Space Telescope,USA,USA,National Aeronautics and Space Administration (NASA)/GSFC,Government,Space Science,,LEO,Non-Polar Inclined,0.0,537,556,0.0013735270729415166,25.6,95.6,4303.0,,,2008-06-11,,General Dynamics,USA,Cape Canaveral,Delta 2,2008-029A,33053,"Will study the cosmos in the photon energy range of 8,000 electronvolts (8 keV) to greater than 300 billion electronvolts (300 GeV)."
695,"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA 215,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,1101,1107,0.0004013914905004014,122.99,107.35,,,,2010-09-21,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2010-046A,37162,Amateur observers speculate that this is part of the FIA.
696,"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA 234,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,1068,1107,0.0026148172980221254,123.0,107.0,,,,2012-04-03,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2012-014A,38109,Amateur observers speculate that this is part of the FIA.
697,"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA 247,NR,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,1066,1081,0.0010075905152146167,123.0,106.7,,,,2013-12-06,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2013-072A,39462,"US reconnaissance satellite, part of the only remaining element of the Future Imaging Architecture programme, equipped with an imaging radar. Orbit plane is 90° away in RA from each of the two earlier launches."
698,"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topaz)",USA 267,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,1086,1087,6.70555890833501e-05,123.0,106.7,,,,2016-02-10,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2016-010A,41334,
699,"FIA Radar 5 (Future Imagery Architecture (FIA) Radar 5, NROL-47, USA 281, Topaz)",USA 281,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,1047,1057,0.0006736728644570197,106.0,106.2,,,,2018-01-12,,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2018-005A,43145,
700,"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Firebird-C,USA,USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,,LEO,Elliptical,0.0,437,667,0.016613695463738806,99.1,95.7,2.0,,,2015-01-31,0.25,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003B,40377,"One of a simultaneously-launched pair studying space weather, in particular - electron microbursts in the Van Allen radiation belts."
701,"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Firebird-D,USA,USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,,LEO,Elliptical,0.0,444,675,0.016667869254635977,99.1,97.7,2.0,,,2015-01-31,0.25,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003C,40378,"One of a simultaneously-launched pair studying space weather, in particular - electron microbursts in the Van Allen radiation belts."
702,FloripaSat-1,FloripaSat-1,Brazil,Brazil,Federal University of Santa Catarina,Civil,Educational,,LEO,Sun-Synchronous,0.0,614,635,0.0015011794981771391,97.9,97.1,1.0,,,2019-12-20,,Federal University of Santa Catarina,Brazil,Taiyuan Launch Center,Long March 4B,2019-093G,44885,Student built - education.
703,FLP (Flying Laptop),FLP,Germany,Germany,University of Stuttgart,Civil,Earth Observation/Space Science,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,586,606,0.001435544071202986,97.6,96.6,120.0,,,2017-07-14,2.0,University of Stuttgart,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2017-042G,42831,"Technology demonstration, tracking of near-earth objects, AIS"
704,FLTSATCOM-8 (USA 46),USA 46,USA,USA,US Navy,Military,Communications,,GEO,,-14.74,35745,35829,0.0009962758260787057,8.97,1436.13,2310.0,1884,,1989-09-25,5.0,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.
705,FormoSat-5,FormoSat-5,NR,Taiwan,National Space Organization,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,710,729,0.0013400098737569644,98.3,99.1,525.0,,,2017-08-25,5.0,National Space Organization,Taiwan,Vandenberg AFB,Falcon 9,2017-049A,42920,Taiwan's first indigenous designed and manufactured satellite.
706,FORTÉ (Fast On-orbit Recording of Transient Events),FORTÉ ,USA,USA,Los Alamos National Laboratory,Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,790,823,0.0022991709050372744,70.0,101.0,215.0,41,55,1997-08-29,3.0,Los Alamos National Laboratory/Sandia National Laboratory,USA,Vandenberg AFB,Pegasus XL,1997-047A,24920,"Electronic equipment for detecting, analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus."
707,Fox-1A (AO-85),Fox-1A,NR,USA,AMSAT-NA,Civil,Communications/Technology Development,,LEO,Non-Polar Inclined,0.0,496,802,0.021797976919789144,64.78,97.7,1.33,,,2015-10-08,11.0,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,USA,Cape Canaveral,Atlas 5,2015-058D,40967,NASA-sponsored ride-along on a NRL launch. Amateur radio and three technology experiments by American universities.
708,Fox-1Cliff (AO 95),Fox-1Cliff,NR,USA,AMSAT-NA,Civil,Communications,,LEO,Sun-Synchronous,0.0,574,591,0.001222581805106077,97.7,96.3,1.5,,,2018-12-03,,Radio Amateur Satellite Corporation (AMSAT),USA,Vandenberg AFB,Falcon 9,2018-099N,43770,Part of SSO-A Smallsat Express launch. University-developed payload.
709,Fox-1D (AO-92),Fox-1D,USA,USA,AMSAT-NA/University of Iowa/Penn State Erie/Virginia Tech,Civil,Communications/Technology Development,,LEO,Sun-Synchronous,0.0,494,507,0.000946073793755913,97.5,94.6,2.0,,,2018-01-11,,AMSAT/University of Iowa/Penn State Erie/Virginia Tech,France/Italy,Satish Dhawan Space Centre,PSLV,2018-004AC,43137,Cubesat developed for amateur radio and technology research.
710,FSSCAT-A,FSSCAT-A,NR (12/20),ESA,Copernicus Land and Marine Environment services,Government,Earth Observation,,LEO,Sun-Synchronous,0.0,534,538,0.0002896032435563278,97.5,94.4,10.0,,,2020-09-02,,consortium of European companies and institutes,ESA,Guiana Space Center,Vega,2020-061W,46292,First European satellite to demonstrate how onboard artificial intelligence can improve the efficiency of sending Earth observation data back to Earth. This revolutionary artificial intelligence technology will fly on one of the two CubeSats that make up the FSSCat
711,FSSCAT-B,FSSCAT-B,NR (12/20),ESA,Copernicus Land and Marine Environment services,Government,Earth Observation,,LEO,Sun-Synchronous,0.0,534,537,0.00021721815943812902,97.5,94.4,10.0,,,2020-09-02,,consortium of European companies and institutes,ESA,Guiana Space Center,Vega,2020-061X,46293,
712,FUNCube-1 (AO-73),FUNCube-1 (AO-73),NR,Netherlands,AMSAT-UK,Civil,Communications,,LEO,Sun-Synchronous,0.0,594,683,0.006349432831561675,97.8,97.4,1.0,,,2013-11-21,,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Air Base,Dnepr,2013-066AE,39444,"Aimed for its transmissions to be received easily be received by schools and colleges and decoded in the classroom. It's purpose is to provide stimulation and encouragement for students to become interested Science, Technology, Engineering and Mathematics."
713,Galaxy-11,Galaxy-11,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,GEO,,-55.5,35785,35795,0.00011859582542694497,0.05,1436.11,4488.0,2775,10400,1999-01-21,14.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1999-071A,26038,"Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications."
714,Galaxy-12,Galaxy-12,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,GEO,,-122.9,35775,35796,0.0002490778190271732,0.05,1436.07,1760.0,800,,2003-04-09,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2003-013B,27715,"Voice, video and data transmissions; 24 C-band; North and South America."
715,"Galaxy-13 (Horizons 1, Galaxy 13L)",Galaxy-13,USA,USA/Japan,PanAmSat (Intelsat S.A.)/Sky Perfect JSAT Corp.,Commercial,Communications,,GEO,,-126.97,35781,35790,0.00010674763672593138,0.01,1436.07,4060.0,2630,8600,2003-10-01,15.0,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3,2003-044A,27954,Horizons 1 is Ku-band payload; C-band is on Galaxy 13.
716,Galaxy-14,Galaxy-14,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,GEO,,-124.96,35776,35795,0.00022535612197696622,0.01,1436.07,2086.0,,4700,2005-08-13,15.0,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat,2005-030A,28790,"24 C-band transponders; North America, Caribbean."
717,Galaxy-15,Galaxy-15,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,GEO,,-132.97,35776,35795,0.00022535612197696622,0.06,1436.07,2033.0,,4700,2005-10-13,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2005-041A,28884,"North America, Alaska, Hawaii, Caribbean; 24 C-band transponders, 2 L-band transponders for transmission of navigational data; anomaly in 4/10 left Intelsat out of communication with the satellite."
718,Galaxy-16 ,Galaxy-16,USA,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,,GEO,,-99.02,35775,35798,0.0002727930449634101,0.01,1436.1,4640.0,,10000,2006-06-18,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2006-023A,29236,"24 C-band, 24 Ku-band; CONUS coverage."
719,Galaxy-17,Galaxy-17,USA,USA,Intelsat S.A.,Commercial,Communications,,GEO,,-91.01,35774,35799,0.0002965141793080545,0.02,1436.1,4100.0,,9500,2007-05-04,15.0,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2007-016B,31307,"24 C-band, 24 Ku-band transponders; service to North America."
720,Galaxy-18,Galaxy-18,USA,USA,Intelsat S.A.,Commercial,Communications,,GEO,,-123.02,35774,35798,0.0002846569883290635,0.02,1436.1,4642.0,,,2008-05-21,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-024A,32951,"Advanced cable television and data, North America; 24 Ku-band, 24 C-band transponders."
721,Galaxy-19,Galaxy-19,USA,USA,Intelsat S.A.,Commercial,Communications,,GEO,,-97.08,35776,35796,0.00023721415694088623,0.05,1436.1,4690.0,,,2008-09-24,15.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-045A,33376,"50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. "
722,"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",Galaxy-25,USA,USA,Intelsat S.A. ,Commercial,Communications,,GEO,,-93.09,35771,35801,0.00035582123541132935,0.03,1436.08,3515.0,,,1997-05-24,13.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,1997-026A,24812,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean."
723,"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",Galaxy-28,USA,USA,Intelsat S.A.,Commercial,Communications,,GEO,,-88.96,35775,35798,0.0002727930449634101,0.01,1436.1,5493.0,,16000,2005-06-23,13.0,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2005-022A,28702,"28 C-band, 36 Ku-band, 24 Ka-band; video and data transmissions to all countries in North and South America."
724,Galaxy-30,Galaxy-30,NR (12/20),USA,Intelsat S.A.,Commercial,Communications,,GEO,,-125.0,35523,35528,5.9672279839123534e-05,0.01,1422.1,3298.0,,,2020-08-15,15.0,Northrup Grumman,USA,Guiana Space Center,Ariane 5,2020-056C,46114,
725,Galaxy-3C,Galaxy-3C,USA,USA,"PanAmSat (Intelsat S.A.)/DirecTV, Inc.",Commercial,Communications,,GEO,,-95.02,35784,35788,4.744283138817725e-05,0.01,1436.11,4860.0,2873,18000,2002-06-15,15.0,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2002-030A,27445,"Direct-to-home broadcast of video and Internet; 24 C-band, 16 Ku-band; North America. DirecTV leases transponders for broadcast to Latin America."
726,"Galileo FOC FM1 (0201, Galileo 5, PRN E18)",Galileo FOC FM1,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,Elliptical,Non-Polar Inclined,0.0,17231,25971,0.15623324157162777,49.78,776.25,733.0,660,,2014-08-22,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128,"Placed into wrong orbit, subsequently maneuvered into orbit where it can work with Galileo constellation."
727,"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",Galileo FOC FM10,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23272,23280,0.00013492545368683803,57.4,847.01,723.0,,,2016-05-24,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549,
728,"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",Galileo FOC FM11,NR,ESA,European Space Agency (ESA),Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.0,23483,23530,0.0007865713855371278,57.4,856.9,723.0,,,2016-05-24,12.0,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550,
