,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
14,"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.0,35500,35500,0.0,0.0,1436.0,5000.0,,,2010-11-21,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.
15,"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.0,35771,35805,0.0004032449357180132,0.0,1436.1,5000.0,,,2012-06-29,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.
16,"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,35613,35903,0.003441891378655526,7.51,1437.19,5000.0,,,2016-06-11,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.
17,"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120.0,35772,35801,0.00034395644799734324,2.34,1436.1,6169.0,,,2012-05-03,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.
18,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.1,35700,35803,0.0012226535142385718,4.2,1436.1,6169.0,,,2013-09-18,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.
19,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.2,35781,35790,0.00010674763672593138,0.05,1436.1,6169.0,,,2018-10-17,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,
20,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,35780,35810,0.0003557452863749555,6.4,1436.2,6169.0,,,2019-08-08,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,
21,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0.0,35780,35780,0.0,0.0,1436.0,6169.0,,,2020-03-26,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,
22,Aeneas,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.0,480,790,0.02212705210563883,0.02,97.4,3.0,,,2012-09-13,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.
23,Aeolus,Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.0,314,317,0.0002243661655822302,96.7,92.4,1367.0,,,2018-08-22,3.0,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
