id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
64769,Starlink 1671,46554,2020-070Y,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64770,Starlink 1674,46555,2020-070Z,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64771,Starlink 1676,46556,2020-070AA,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64772,Starlink 1679,46557,2020-070AB,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64773,Starlink 1680,46558,2020-070AC,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64774,Starlink 1681,46559,2020-070AD,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64775,Starlink 1706,46560,2020-070AE,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64776,Starlink 1709,46561,2020-070AF,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64777,Starlink 1714,46562,2020-070AG,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64778,Starlink 1730,46563,2020-070AH,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64779,Starlink 1733,46564,2020-070AJ,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64780,Starlink 1735,46565,2020-070AK,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64781,Starlink 1740,46566,2020-070AL,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64782,Starlink 1741,46567,2020-070AM,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64783,Starlink 1743,46568,2020-070AN,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64784,Starlink 1747,46569,2020-070AP,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64785,Starlink 1748,46570,2020-070AQ,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64786,Starlink 1753,46571,2020-070AR,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64787,Starlink 1531,46572,2020-070AS,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64788,Starlink 1650,46573,2020-070AT,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64789,Starlink 1660,46574,2020-070AU,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64790,Starlink 1675,46575,2020-070AV,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64791,Starlink 1677,46576,2020-070AW,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64792,Starlink 1682,46577,2020-070AX,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64793,Starlink 1683,46578,2020-070AY,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
64794,Starlink 1705,46579,2020-070AZ,,Payload,260,Box + 1 Pan,3.3,0.2,9,,23.657,0.9049,13.6031511029411
