id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47240,Briz-M (Proton-M/Briz-M),42935,2017-053B,,Rocket Body,1600,Cyl,4,2.61,4,,16.3372969128136,10.44,14.4827421330489
47241,,,,41602,Unknown,,,,,,,,,
47242,,,,46602,Unknown,,,,,,,,,
47243,,,,71505,Unknown,,,,,,,,,
47244,,,,142615,Unknown,,,,,,,,,
47246,,,,144416,Unknown,,,,,,,,,
47247,,,,143915,Unknown,,,,,,,,,
47248,,,,33901,Unknown,,,,,,,,,
47249,,,,65904,Unknown,,,,,,,,,
47250,,,,49204,Unknown,,,,,,,,,
47251,,,,138805,Unknown,,,,,,,,,
47252,,,,75001,Unknown,,,,,,,,,
47253,,,,120700,Unknown,,,,,,,,,
47254,Cosmos-2522,42939,2017-055A,,Payload,1450,Cyl + 1 Ant + 2 Pan,1.5,4,7.8,,14.500342033256,1.76714586764426,8.46662858087348
47255,Fregat-M (Soyuz-2-1B Fregat-M),42940,2017-055B,,Rocket Body,920,Irr,3.48,1.74,3.48,,14.8321502905007,6.0552,12.1104
47256,,,,21400,Unknown,,,,,,,,,
47257,,,,144221,Unknown,,,,,,,,,
47258,"USA 278 (NROL 42, SBIRS HEO-4, Trumpet-F/O-2 2)",42941,2017-056A,,Payload,,Cyl + 2 Pan,,,,,,,
47259,Briz-M auxiliary tank (DTB),42944,2017-057C,,Rocket Mission Related Object,1000,Torus,4,2.1,4,,12.5663706143592,7.45360590058275,8.21789806830189
47260,Yaogan Weixing 30-01-01,42945,2017-058A,,Payload,500,Box + 2 Pan,0.5,0.5,1,,0.633235078264092,0.25,0.446
47261,Yaogan Weixing 30-01-02,42946,2017-058B,,Payload,500,Box + 2 Pan,0.5,0.5,1,,0.633235078264092,0.25,0.446
47262,Yaogan Weixing 30-01-03,42947,2017-058C,,Payload,500,Box + 2 Pan,0.5,0.5,1,,0.633235078264092,0.25,0.446
47263,L-55 (YF24) (Long March (CZ) 2C),42948,2017-058D,,Rocket Body,3800,Cyl,3.35,9.94,9.94,,34.4457879039459,8.81413088872786,30.5600388873356
47264,Asiasat 9,42942,2017-057A,,Payload,6141,Box + 2 Pan,3,7,27,,88.6327612960186,9,44.796
47265,Briz-M (Proton-M/Briz-M),42943,2017-057B,,Rocket Body,1600,Cyl,4,2.61,4,,16.3372969128136,10.44,14.4827421330489
